source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,27113924.386870243,867096.1645374313,235593.15216176832,1450775.044558411,1051789.5466130092,12254.20525913658
rice,561281.0953412789,2859248.062027344,77593.42995904194,468565.70755648235,369563.55378522375,123300.15133008595
bajra,74887.39102540056,37214.0,132842.60897459945,10477.0,23530.0,316.0
maize,362062.0939468243,404673.24150666635,56832.04523350031,747804.4845465093,372700.9547664997,24602.0
jowar,288889.6424892489,96848.81401966263,3357.0,306738.0,3453728.543491089,47601.0
ragi,274.542683879426,31279.0,3389.0,13826.0,29004.0,13266.457316120574
