Crop,original_total_ha,optimized_total_ha,delta_ha,pct_change
rice,40085352.75,33928922.744647674,-6156430.005352326,-15.358303178091218
bajra,7286546.0,9211500.792458437,1924954.7924584374,26.417932343505928
maize,7470863.0,5439370.918148113,-2031492.0818518866,-27.192200979349863
jowar,2041066.0,8514033.185144655,6472967.185144655,317.1365935812294
ragi,1103945.0,893945.109601118,-209999.89039888198,-19.02267689050469
