source_crop,rice,bajra,maize,jowar,ragi
rice,25099180.204962913,2107213.376535177,7680164.814094757,3273673.8747110954,1925120.4796960594
bajra,776580.0,4298809.0,330284.0094244495,1627046.7903445703,253826.20023098006
maize,1588123.5669286286,1392295.2050869768,2275061.3960091304,1999473.471244994,215909.36073027021
jowar,227004.55964292286,609424.1871238633,432003.00247132586,682162.2532332139,90471.99752867414
ragi,111293.3865631326,7088.613436867402,465175.0941524202,411778.0,108609.90584757982
