Crop,original_total_ha,optimized_total_ha,delta_ha,pct_change
wheat,30731432.5,26999822.048400186,-3731610.451599814,-12.142650530852455
rice,44544904.75,40625710.15651429,-3919194.593485713,-8.798300536237454
bajra,7565813.0,11439429.610390514,3873616.610390514,51.198947296087205
maize,9439537.82,8591386.551057683,-848151.268942317,-8.98509318057181
jowar,6238229.0,11271795.201691722,5033566.2016917225,80.68902571052973
ragi,1194984.0,786757.5019456074,-408226.49805439264,-34.16167062106209
