season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
rabi,wheat,0.0,100.0,2997829060.776767,2714998382.8659534,9.434516517680603,30731432.5,28401319.152357414,92.41781733525573,7.582182664744267,Optimal,False,state,8
rabi,wheat,0.1,90.0,2997829060.776767,2715008615.3163276,9.434175189000193,30731432.5,28401765.352357414,92.4192692688745,7.580730731125489,Optimal,False,state,8
rabi,wheat,0.2,80.0,2997829060.776767,2715018854.2390985,9.433833644416982,30731432.5,28402211.552357417,92.4207212024933,7.5792787975067,Optimal,False,state,8
rabi,wheat,0.3,70.0,2997829060.776767,2715131429.174988,9.430078429105937,30731432.5,28413463.838095706,92.45733611049764,7.542663889502365,Optimal,False,state,8
rabi,wheat,0.4,60.0,2997829060.776767,2715324763.444062,9.423629286571293,30731432.5,28433243.838095706,92.52170017813425,7.478299821865752,Optimal,False,state,8
rabi,wheat,0.5,50.0,2997829060.776767,2715753871.409686,9.40931532947353,30731432.5,28530200.588095706,92.83719718596166,7.162802814038343,Optimal,False,state,8
rabi,wheat,0.6,40.0,2997829060.776767,2716576207.24263,9.38188428466503,30731432.5,28663753.738095704,93.2717787825078,6.728221217492207,Optimal,False,state,8
rabi,wheat,0.7,30.000000000000004,2997829060.776767,2719728878.296227,9.276719147171164,30731432.5,29001010.83419944,94.36921248041216,5.630787519587836,Optimal,False,state,8
rabi,wheat,0.8,19.999999999999996,2997829060.776767,2726265503.686265,9.05867384647132,30731432.5,29453441.78419944,95.84142159399643,4.1585784060035635,Optimal,False,state,8
rabi,wheat,0.9,9.999999999999998,2997829060.776767,2740312749.8462234,8.590093221119767,30731432.5,29905874.73419944,97.31363721557541,2.6863627844245848,Optimal,False,state,8
rabi,wheat,1.0,0.0,2997829060.776767,2778614852.233347,7.312431899856868,30731432.5,31196318.732059106,101.51273856843187,-1.5127385684318693,Optimal,False,state,8
