source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,26205768.086394347,1055660.1892705618,827665.0903789013,1639523.4636903452,1002292.0968380398,523.5734278052607
rice,154206.27554221614,35550224.32013877,3571697.5605614698,2863652.2184138745,2056582.0008465804,348542.3744970773
bajra,1712.0,850260.1834906113,4614156.559227661,307585.52240132436,1602591.8380940391,189506.89678636385
maize,314439.7476653829,2679884.629776944,1555720.5630043792,2571707.0346122906,2239141.0128834415,78644.8320575623
jowar,323432.0,357417.79363957467,800907.770656055,781431.7103447382,3913301.7055124664,61738.01984716578
ragi,263.9387982208973,132263.04019783193,69282.06656204828,427486.6015951113,457886.5475171547,107801.80532963286
