crop,msp_reference_rs_per_quintal,national_mean_price_rs_per_quintal,matched_states_in_model,direct_area_coverage_percent,national_fill_area_percent,area_weighted_benchmark_price_rs_per_quintal
Rice,1570.0,1599.2370816801574,28/32,99.91705549667833,0.0829445033216734,1599.9865883165714
Wheat,1735.0,1246.7407642908695,24/27,99.99809966554602,0.001900334453982905,1248.40378126016
Maize,1425.0,1069.7911105563405,27/30,99.99839377729194,0.0016062227080520346,1068.48514589434
Jowar,1712.5,1600.599340961176,18/22,99.97895235971619,0.021047640283804906,1674.156190611194
Bajra,1425.0,964.1940160277185,18/21,99.99900869873468,0.0009913012653101523,948.7231064359125
Ragi,1900.0,1040.4400256533788,15/19,99.17120229224827,0.8287977077517356,1031.9755621820386
