source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,30043838.558541063,65025.62470748479,188598.8852489479,174502.3804265288,258885.1224425595,581.9286334146904
rice,155815.92119872634,42069461.47140163,458531.69524868735,1321909.22086342,435527.51062495215,103658.93066216327
bajra,3694.1564466248474,160095.48109499805,6934690.444813113,192030.1744796017,263462.1905353246,11840.552630338036
maize,231985.73812767223,565929.3783256403,259374.13916839458,8031015.939391427,316067.4382034181,35165.18678344807
jowar,152468.70609642923,124249.48738278613,256117.65761486266,187445.94166771363,5487023.253390668,30923.953847539928
ragi,458.15766753617874,204835.351607821,1433.3171716467486,134348.4353825021,59874.92798866976,794033.8101818243
