Alpha,rows_kharif,objective_nitrogen_kharif,objective_water_kharif,solve_status_kharif,solve_status_code_kharif,objective_nitrogen_nunique_kharif,objective_water_nunique_kharif,solve_status_nunique_kharif,is_optimal_kharif,is_consistent_kharif,is_valid_kharif,rows_rabi,objective_nitrogen_rabi,objective_water_rabi,solve_status_rabi,solve_status_code_rabi,objective_nitrogen_nunique_rabi,objective_water_nunique_rabi,solve_status_nunique_rabi,is_optimal_rabi,is_consistent_rabi,is_valid_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,valid_reason
0.0,3535,4264684841.3761873,177530981163.72528,Infeasible,-1,1,1,1,False,True,False,4032,2845093392.0919814,77036918244.79701,Infeasible,-1,1,1,1,False,True,False,7109778233.468168,254567899408.52228,7.109778233468168,254.56789940852227,False,rabi_not_optimal
1.0,3535,3866575127.990634,205821725227.94965,Infeasible,-1,1,1,1,False,True,False,4032,2552776226.873971,86230396110.3233,Infeasible,-1,1,1,1,False,True,False,6419351354.864605,292052121338.27295,6.419351354864605,292.05212133827297,False,rabi_not_optimal
