metric,display_metric,center_pct_reduction,center_display_pct,bootstrap_mean_pct_reduction,bootstrap_p2_5_pct_reduction,bootstrap_p97_5_pct_reduction,display_interval_low,display_interval_high,lower_err_display,upper_err_display,n_optimal,n_total
Nitrogen Emission,Nitrogen Emission,16.115659594785466,-16.115659594785466,18.126314513069964,16.514109703281566,19.71568800260184,-17.705033084317343,-14.503454784997068,1.5893734895318765,1.6122048097883983,500,500
Nitrogen Leach,Nitrogen Leach,11.762749640441523,-11.762749640441523,13.315574023079726,11.174862061743895,15.361087706815244,-13.808263324177041,-9.622037679105691,2.0455136837355177,2.140711961335832,500,500
Greenhouse Gas emission,Greenhouse Gas emission,11.403663041106407,-11.403663041106407,10.820040725871658,9.608057609063083,11.828203800172759,-12.411826115407507,-10.191679924297832,1.0081630743011,1.2119831168085753,500,500
Calorie,Calorie,-1.3746124769493147,1.3746124769493147,-1.5761731306446523,-2.1145961335414443,-1.284789873259355,1.0832292195640174,1.9130354798461067,0.29138325738529725,0.538423002896792,500,500
Phosphorus application,Phosphorus application,12.995647134737498,-12.995647134737498,13.304174728799003,11.007122559648176,16.151535601385376,-15.84300800732387,-10.69859496558667,2.847360872586373,2.2970521691508274,500,500
Nitrogen application,Nitrogen application,10.33152957799892,-10.33152957799892,11.959209860979081,10.711367919694567,13.147261121307132,-11.51958083832697,-9.083687636714405,1.1880512603280504,1.2478419412845145,500,500
Phosphorus Surplus,Phosphorus Surplus,17.003439489696635,-17.003439489696635,17.30297720822499,14.515099278192608,20.733544612405346,-20.43400689387699,-14.215561559664252,3.430567404180355,2.7878779300323835,500,500
Nitrogen Surplus,Nitrogen Surplus,15.540356478666173,-15.540356478666173,17.554391650564433,15.934570197851423,19.126956828971363,-17.1129216570731,-13.920535025953162,1.5725651784069292,1.6198214527130101,500,500
Water Demand,Water Demand,23.319450187386728,-23.319450187386728,21.153373998236816,14.13062653069073,26.45210013585177,-28.61817632500168,-16.296702719840642,5.298726137614953,7.022747467546086,500,500
