Target,Source,quantity
CHANDIGARH,MEGHALAYA,0.0
CHANDIGARH,MIZORAM,0.0
CHANDIGARH,NAGALAND,0.0
CHANDIGARH,ODISHA,0.0
CHANDIGARH,PUDUCHERRY,0.0
CHANDIGARH,PUNJAB,0.0
CHANDIGARH,RAJASHTHAN,0.0
CHANDIGARH,TAMIL NADU,0.0
CHANDIGARH,TELANGANA,0.0
CHANDIGARH,TRIPURA,0.0
CHANDIGARH,UTTAR PRADESH,0.0
CHANDIGARH,UTTARAKHAND,0.0
CHANDIGARH,WEST BENGAL,0.0
CHATTISGARH,ANDHRA PRADESH,0.0
CHATTISGARH,ARUNACHAL PRADESH,0.0
CHATTISGARH,ASSAM,0.0
CHATTISGARH,BIHAR,0.0
CHATTISGARH,CHANDIGARH,0.0
CHATTISGARH,CHATTISGARH,0.0
CHATTISGARH,DAMAN & DIU,0.0
CHATTISGARH,DELHI,0.0
CHATTISGARH,GOA,0.0
CHATTISGARH,GUJARAT,0.0
CHATTISGARH,HARYANA,0.0
CHATTISGARH,HIMACHAL PRADESH,0.0
CHATTISGARH,JAMMU & KASHMIR,0.0
CHATTISGARH,JHARKHAND,0.0
CHATTISGARH,KARNATAKA,0.0
CHATTISGARH,KERALA,0.0
CHATTISGARH,MADHYA PRADESH,88400.0
CHATTISGARH,MAHARASHTRA,0.0
CHATTISGARH,MANIPUR,0.0
CHATTISGARH,MEGHALAYA,0.0
CHATTISGARH,MIZORAM,0.0
CHATTISGARH,NAGALAND,0.0
CHATTISGARH,ODISHA,0.0
CHATTISGARH,PUDUCHERRY,0.0
CHATTISGARH,PUNJAB,0.0
CHATTISGARH,RAJASHTHAN,0.0
CHATTISGARH,TAMIL NADU,0.0
CHATTISGARH,TELANGANA,0.0
CHATTISGARH,TRIPURA,0.0
CHATTISGARH,UTTAR PRADESH,0.0
CHATTISGARH,UTTARAKHAND,0.0
CHATTISGARH,WEST BENGAL,0.0
DAMAN & DIU,ARUNACHAL PRADESH,0.0
DAMAN & DIU,ASSAM,0.0
DAMAN & DIU,BIHAR,0.0
DAMAN & DIU,CHANDIGARH,0.0
DAMAN & DIU,CHATTISGARH,0.0
DAMAN & DIU,DAMAN & DIU,0.0
DAMAN & DIU,DELHI,0.0
DAMAN & DIU,GOA,0.0
DAMAN & DIU,GUJARAT,0.0
DAMAN & DIU,HARYANA,0.0
DAMAN & DIU,HIMACHAL PRADESH,0.0
DAMAN & DIU,JAMMU & KASHMIR,0.0
DAMAN & DIU,JHARKHAND,0.0
DAMAN & DIU,KARNATAKA,0.0
DAMAN & DIU,KERALA,0.0
DAMAN & DIU,MADHYA PRADESH,0.0
DAMAN & DIU,MAHARASHTRA,0.0
DAMAN & DIU,MANIPUR,0.0
DAMAN & DIU,MEGHALAYA,0.0
DAMAN & DIU,MIZORAM,0.0
DAMAN & DIU,NAGALAND,0.0
DAMAN & DIU,ODISHA,0.0
DAMAN & DIU,PUDUCHERRY,0.0
DAMAN & DIU,PUNJAB,0.0
DAMAN & DIU,RAJASHTHAN,0.0
DAMAN & DIU,TAMIL NADU,0.0
DAMAN & DIU,TELANGANA,0.0
