state,crop,Year,district,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Assam,rice,2017, BAKSA BARPETA BONGAIGAON CACHAR CHIRANG DARRANG DHEMAJI DHUBRI DIBRUGARH DIMA HASAO GOALPARA GOLAGHAT HAILAKANDI JORHAT KAMRUP KAMRUP METRO KARBI ANGLONG KARIMGANJ KOKRAJHAR LAKHIMPUR MARIGAON NAGAON NALBARI SIVASAGAR SONITPUR TINSUKIA UDALGURI BAKSA BAKSA BARPETA BARPETA BONGAIGAON BONGAIGAON CACHAR CACHAR CHIRANG CHIRANG DARRANG DARRANG DHEMAJI DHEMAJI DHUBRI DHUBRI DIBRUGARH DIBRUGARH DIMA HASAO GOALPARA GOALPARA GOLAGHAT GOLAGHAT HAILAKANDI HAILAKANDI JORHAT JORHAT KAMRUP KAMRUP KAMRUP METRO KAMRUP METRO KARBI ANGLONG KARBI ANGLONG KARIMGANJ KARIMGANJ KOKRAJHAR KOKRAJHAR LAKHIMPUR LAKHIMPUR MARIGAON MARIGAON NAGAON NAGAON NALBARI NALBARI SIVASAGAR SIVASAGAR SONITPUR SONITPUR TINSUKIA TINSUKIA UDALGURI UDALGURI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,2433711.0,5283713.0,164.36130232207773
Assam,wheat,2017, BAKSA BARPETA BONGAIGAON CACHAR CHIRANG DARRANG DHEMAJI DHUBRI DIBRUGARH GOALPARA GOLAGHAT JORHAT KAMRUP KAMRUP METRO KARBI ANGLONG KARIMGANJ KOKRAJHAR LAKHIMPUR MARIGAON NAGAON NALBARI SIVASAGAR SONITPUR TINSUKIA UDALGURI,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,17786.0,24658.0,33.457217706039586
Bihar,maize,2017, ARARIA ARWAL AURANGABAD BANKA BEGUSARAI BHAGALPUR BHOJPUR BUXAR DARBHANGA GAYA GOPALGANJ JAMUI JEHANABAD KAIMUR (BHABUA) KATIHAR KHAGARIA KISHANGANJ LAKHISARAI MADHEPURA MADHUBANI MUNGER MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA ROHTAS SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI ARARIA ARWAL BANKA BEGUSARAI BHAGALPUR BHOJPUR BUXAR DARBHANGA GAYA GOPALGANJ JAMUI JEHANABAD KATIHAR KHAGARIA KISHANGANJ MADHEPURA MADHUBANI MUNGER MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA SAHARSA SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,677446.0,3120772.0,261.5975712353823
Bihar,bajra,2017, BHAGALPUR BHOJPUR BUXAR PATNA SIWAN,KharifKharifKharifKharifKharif,4379.0,4966.0,5.646998580289477
Bihar,jowar,2017, BEGUSARAI BHAGALPUR BHOJPUR BUXAR PATNA,KharifKharifKharifKharifKharif,1358.0,1448.0,5.433255211477051
Bihar,ragi,2017, ARWAL AURANGABAD BEGUSARAI BHOJPUR DARBHANGA GAYA GOPALGANJ JEHANABAD KHAGARIA KISHANGANJ MADHEPURA MADHUBANI MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN SAHARSA SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,4211.0,4184.0,26.86997960851383
Bihar,rice,2017, ARARIA BEGUSARAI BHOJPUR DARBHANGA GOPALGANJ KATIHAR KHAGARIA KISHANGANJ MADHEPURA MADHUBANI MUZAFFARPUR PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA SAHARSA SAMASTIPUR SARAN SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI ARARIA ARARIA ARWAL AURANGABAD BANKA BEGUSARAI BHAGALPUR BHOJPUR BUXAR DARBHANGA DARBHANGA GAYA GOPALGANJ JAMUI JEHANABAD KAIMUR (BHABUA) KATIHAR KATIHAR KHAGARIA KHAGARIA KISHANGANJ KISHANGANJ LAKHISARAI MADHEPURA MADHEPURA MADHUBANI MADHUBANI MUNGER MUNGER MUZAFFARPUR NALANDA NALANDA NAWADA NAWADA PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA PURNIA ROHTAS SAHARSA SAHARSA SAMASTIPUR SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL SUPAUL VAISHALI,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,3306983.0,8093161.0,163.15172972876167
Bihar,wheat,2017, ARARIA ARWAL AURANGABAD BANKA BEGUSARAI BHAGALPUR BHOJPUR BUXAR DARBHANGA GAYA GOPALGANJ JAMUI JEHANABAD KAIMUR (BHABUA) KATIHAR KHAGARIA KISHANGANJ LAKHISARAI MADHEPURA MADHUBANI MUNGER MUZAFFARPUR NALANDA NAWADA PASHCHIM CHAMPARAN PATNA PURBI CHAMPARAN PURNIA ROHTAS SAHARSA SAMASTIPUR SARAN SHEIKHPURA SHEOHAR SITAMARHI SIWAN SUPAUL VAISHALI,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,2101311.0,6104303.0,108.91665540564112
Chandigarh,rice,2017, CHANDIGARH,Kharif,10.0,55.0,5.5
Chandigarh,wheat,2017, CHANDIGARH,Rabi,546.0,2566.0,4.6996336996337
Chhattisgarh,maize,2017, BALOD BALODA BAZAR BALRAMPUR BASTAR BEMETARA BIJAPUR BILASPUR DANTEWADA DHAMTARI DURG GARIYABAND JANJGIR-CHAMPA JASHPUR KABIRDHAM KANKER KONDAGAON KORBA KOREA MAHASAMUND MUNGELI NARAYANPUR RAIGARH RAIPUR RAJNANDGAON SUKMA SURAJPUR SURGUJA,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,119617.0,306937.0,61.02367614598238
Chhattisgarh,bajra,2017, BILASPUR DURG JASHPUR RAIGARH,KharifKharifKharifKharif,61.0,25.0,1.634187370600414
Chhattisgarh,ragi,2017, BALOD BALRAMPUR BASTAR BIJAPUR DANTEWADA DHAMTARI GARIYABAND JASHPUR KANKER KONDAGAON KOREA NARAYANPUR SUKMA SURAJPUR SURGUJA,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,7274.0,1651.0,2.9138754434146255
Chhattisgarh,rice,2017, BALOD BALODA BAZAR BALRAMPUR BASTAR BEMETARA BIJAPUR BILASPUR DANTEWADA DHAMTARI DURG GARIYABAND JANJGIR-CHAMPA JASHPUR KABIRDHAM KANKER KONDAGAON KORBA KOREA MAHASAMUND MUNGELI NARAYANPUR RAIGARH RAIPUR RAJNANDGAON SUKMA SURAJPUR SURGUJA,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,3976626.0,5749044.0,37.43756515390299
Chhattisgarh,wheat,2017, BALOD BALODA BAZAR BALRAMPUR BASTAR BEMETARA BILASPUR DANTEWADA DHAMTARI DURG GARIYABAND JANJGIR-CHAMPA JASHPUR KABIRDHAM KANKER KONDAGAON KORBA KOREA MAHASAMUND MUNGELI NARAYANPUR RAIGARH RAIPUR RAJNANDGAON SUKMA SURAJPUR SURGUJA,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,102195.0,141642.0,38.93942419776319
Dadra and Nagar Haveli,maize,2017, DADRA AND NAGAR HAVELI DADRA AND NAGAR HAVELI,KharifRabi,108.0,119.0,2.272289156626506
Dadra and Nagar Haveli,jowar,2017, DADRA AND NAGAR HAVELI,Kharif,451.0,385.0,0.8536585365853658
Dadra and Nagar Haveli,ragi,2017, DADRA AND NAGAR HAVELI,Kharif,1135.0,1180.0,1.039647577092511
Dadra and Nagar Haveli,rice,2017, DADRA AND NAGAR HAVELI DADRA AND NAGAR HAVELI,KharifRabi,14226.0,29458.0,4.027729208534966
Dadra and Nagar Haveli,wheat,2017, DADRA AND NAGAR HAVELI,Rabi,139.0,309.0,2.223021582733813
Gujarat,maize,2017, ANAND ARAVALLI BANAS KANTHA BHARUCH CHHOTAUDEPUR DEVBHUMI DWARKA DOHAD GANDHINAGAR KACHCHH KHEDA MAHESANA MAHISAGAR NARMADA NAVSARI PANCH MAHALS PATAN RAJKOT SABAR KANTHA SURAT SURENDRANAGAR TAPI VADODARA AHMADABAD ARAVALLI BHAVNAGAR CHHOTAUDEPUR DEVBHUMI DWARKA DOHAD GANDHINAGAR GIR SOMNATH JAMNAGAR KACHCHH KHEDA MAHESANA MAHISAGAR NARMADA NAVSARI PANCH MAHALS PATAN RAJKOT SABAR KANTHA SURAT TAPI VADODARA VALSAD,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,399984.0,714740.0,89.14852958348884
Gujarat,bajra,2017, AHMADABAD AMRELI ANAND ARAVALLI BANAS KANTHA BHARUCH BHAVNAGAR BOTAD DEVBHUMI DWARKA GANDHINAGAR GIR SOMNATH JAMNAGAR JUNAGADH KACHCHH KHEDA MAHESANA MAHISAGAR MORBI NARMADA PANCH MAHALS PATAN RAJKOT SABAR KANTHA SURENDRANAGAR VADODARA AHMADABAD AMRELI ANAND ARAVALLI BANAS KANTHA BHARUCH BHAVNAGAR BOTAD CHHOTAUDEPUR DEVBHUMI DWARKA DOHAD GANDHINAGAR GIR SOMNATH JAMNAGAR JUNAGADH KACHCHH KHEDA MAHESANA MAHISAGAR MORBI NARMADA PANCH MAHALS PATAN PORBANDAR RAJKOT SABAR KANTHA SURAT SURENDRANAGAR VADODARA,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,397152.0,964917.0,124.44076015767719
