source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
assam,arunachal pradesh,0.0,0.0,0.0
assam,bihar,743833850.0,721923639.9551928,-21910210.044807196
assam,chandigarh,78409000.0,72539216.74532844,-5869783.254671559
assam,chhattisgarh,232690500.0,215271035.392351,-17419464.607649
assam,dadra and nagar haveli,0.0,0.0,0.0
assam,daman and diu,0.0,0.0,0.0
assam,delhi,817815066.6666666,756592538.8479455,-61222527.818721175
assam,goa,0.0,0.0,0.0
assam,gujarat,0.0,0.0,0.0
assam,haryana,15770318933.333332,14940444995.262146,-829873938.0711861
assam,himachal pradesh,0.0,0.0,0.0
assam,jammu and kashmir,0.0,0.0,0.0
assam,jharkhand,0.0,0.0,0.0
assam,karnataka,74240833.33333331,68683083.58122754,-5557749.7521057725
assam,kerala,0.0,0.0,0.0
assam,lakshadeep,0.0,0.0,0.0
assam,madhya pradesh,294184566.6666667,307403663.91164464,13219097.244977951
assam,maharashtra,385334400.00000006,356487846.56137806,-28846553.438621998
assam,manipur,100881675333.33336,94596887826.30167,-6284787507.031681
assam,meghalaya,0.0,0.0,0.0
assam,mizoram,9203120000.0,8515257336.655882,-687862663.3441172
assam,nagaland,21840470000.0,20927578495.549694,-912891504.4503069
assam,odisha,0.0,0.0,0.0
assam,puducherry,0.0,0.0,0.0
assam,punjab,49715662366.666664,46513769070.98537,-3201893295.681302
assam,rajasthan,0.0,0.0,0.0
assam,sikkim,0.0,0.0,0.0
assam,tamil nadu,0.0,0.0,0.0
assam,telangana,157085000.0,145325445.5794605,-11759554.420539498
assam,tripura,380846967500.0,355081783373.9887,-25765184126.011272
assam,uttar pradesh,5752323000.0,5733619349.742365,-18703650.257635593
assam,uttarakhand,314793000.0,291227252.6994628,-23565747.30053723
assam,west bengal,1250366000.0,1214816478.9457245,-35549521.05427545
bihar,andaman and nicobar,0.0,0.0,0.0
bihar,andhra pradesh,1826398666.6666665,865127668.7633581,-961270997.9033084
bihar,arunachal pradesh,0.0,0.0,0.0
bihar,assam,14334178500.0,6137191124.986719,-8196987375.013283
bihar,chandigarh,860414000.0000001,400948390.14804244,-459465609.8519576
bihar,chhattisgarh,78854000.0,37351525.949792184,-41502474.050207816
bihar,dadra and nagar haveli,0.0,0.0,0.0
bihar,daman and diu,0.0,0.0,0.0
bihar,delhi,0.0,0.0,0.0
bihar,goa,0.0,0.0,0.0
bihar,gujarat,0.0,0.0,0.0
bihar,haryana,39017650833.33333,17114572598.499891,-21903078234.833443
bihar,himachal pradesh,0.0,0.0,0.0
bihar,jammu and kashmir,0.0,0.0,0.0
bihar,jharkhand,0.0,0.0,0.0
bihar,karnataka,654196666.6666667,261959448.8450074,-392237217.8216593
bihar,kerala,0.0,0.0,0.0
bihar,lakshadeep,0.0,0.0,0.0
bihar,madhya pradesh,3436816016.666667,1376201493.1916912,-2060614523.4749758
bihar,maharashtra,0.0,0.0,0.0
bihar,manipur,0.0,0.0,0.0
bihar,meghalaya,0.0,0.0,0.0
bihar,mizoram,0.0,0.0,0.0
bihar,nagaland,712425000.0,285275773.8652562,-427149226.1347438
bihar,odisha,0.0,0.0,0.0
bihar,puducherry,0.0,0.0,0.0
bihar,punjab,93025034416.66666,41512385611.82795,-51512648804.838715
bihar,rajasthan,270802000.0,108437028.6195166,-162364971.3804834
bihar,sikkim,0.0,0.0,0.0
bihar,tamil nadu,2221076833.333333,895662089.0229337,-1325414744.3103993
bihar,telangana,690690000.0,276572445.17106193,-414117554.82893807
bihar,tripura,3031043333.333333,1435743192.7352397,-1595300140.5980933
bihar,uttar pradesh,2007200500.0,896302424.7172463,-1110898075.2827537
bihar,uttarakhand,228192000.0,102900826.61851925,-125291173.38148075
bihar,west bengal,7157098266.666667,3181429497.8437815,-3975668768.822886
chandigarh,andaman and nicobar,0.0,0.0,0.0
chandigarh,andhra pradesh,714840000.0,714840000.0,0.0
chandigarh,arunachal pradesh,0.0,0.0,0.0
chandigarh,assam,17212896666.666668,17212896666.666668,0.0
chandigarh,bihar,37099128333.33332,37099128333.33332,0.0
chandigarh,chhattisgarh,712425000.0,712425000.0,0.0
chandigarh,dadra and nagar haveli,0.0,0.0,0.0
chandigarh,daman and diu,0.0,0.0,0.0
chandigarh,delhi,1573520000.0,1573520000.0,0.0
chandigarh,goa,0.0,0.0,0.0
chandigarh,gujarat,1431290000.0,1431290000.0,0.0
chandigarh,haryana,0.0,0.0,0.0
chandigarh,himachal pradesh,0.0,0.0,0.0
chandigarh,jammu and kashmir,3858743333.333333,3858743333.333333,0.0
chandigarh,jharkhand,0.0,0.0,0.0
chandigarh,karnataka,16747723333.333332,16747723333.333332,0.0
chandigarh,kerala,784090000.0,784090000.0,0.0
chandigarh,lakshadeep,0.0,0.0,0.0
chandigarh,madhya pradesh,0.0,0.0,0.0
chandigarh,maharashtra,1497320000.0,1497320000.0,0.0
chandigarh,manipur,0.0,0.0,0.0
chandigarh,meghalaya,0.0,0.0,0.0
chandigarh,mizoram,0.0,0.0,0.0
chandigarh,nagaland,1570850000.0,1570850000.0,0.0
chandigarh,odisha,710815000.0,710815000.0,0.0
chandigarh,puducherry,0.0,0.0,0.0
chandigarh,punjab,0.0,0.0,0.0
chandigarh,rajasthan,0.0,0.0,0.0
chandigarh,sikkim,0.0,0.0,0.0
chandigarh,tamil nadu,3840138333.333333,3840138333.333333,0.0
chandigarh,telangana,0.0,0.0,0.0
chandigarh,tripura,0.0,0.0,0.0
chandigarh,uttar pradesh,8250011666.666666,8250011666.666666,0.0
chandigarh,uttarakhand,0.0,0.0,0.0
chandigarh,west bengal,0.0,0.0,0.0
chhattisgarh,andaman and nicobar,0.0,0.0,0.0
chhattisgarh,andhra pradesh,2287248706333.3335,509147761844.198,-1778100944489.1355
chhattisgarh,arunachal pradesh,0.0,0.0,0.0
chhattisgarh,assam,120364015333.33334,26793356071.79759,-93570659261.53575
chhattisgarh,bihar,1297505486666.6667,288828238349.26855,-1008677248317.3982
chhattisgarh,chandigarh,1581530000.0,352052864.8938728,-1229477135.1061273
chhattisgarh,dadra and nagar haveli,0.0,0.0,0.0
chhattisgarh,daman and diu,0.0,0.0,0.0
chhattisgarh,delhi,3140098000.0,698994326.3469679,-2441103673.6530323
chhattisgarh,goa,30749262666.666664,6844869218.52523,-23904393448.141434
chhattisgarh,gujarat,55856993333.33333,12433918121.918617,-43423075211.41471
chhattisgarh,haryana,5857670833.333333,1359066809.7605314,-4498604023.572802
chhattisgarh,himachal pradesh,3073763333.333333,684228049.7402769,-2389535283.593056
chhattisgarh,jammu and kashmir,7728166666.666666,1720310847.9619932,-6007855818.704673
chhattisgarh,jharkhand,2099494514000.0,467353169704.4439,-1632141344295.5562
chhattisgarh,karnataka,408276612333.3334,90883480579.63812,-317393131753.69525
chhattisgarh,kerala,224578862000.0,49991863424.47232,-174586998575.52768
chhattisgarh,lakshadeep,0.0,0.0,0.0
chhattisgarh,madhya pradesh,86881940166.66669,19617824980.94538,-67264115185.721306
chhattisgarh,maharashtra,1197251792666.6667,266511494317.29086,-930740298349.3759
chhattisgarh,manipur,766883333.3333333,170710308.71331105,-596173024.6200222
chhattisgarh,meghalaya,0.0,0.0,0.0
chhattisgarh,mizoram,783200000.0,174342442.94125384,-608857557.0587461
chhattisgarh,nagaland,8574497333.333334,1908706348.4251788,-6665790984.908155
chhattisgarh,odisha,8750480000.0,1947880567.043645,-6802599432.956355
