from,to,value
RJ,JK,7817489166.666667
RJ,JH,2123751000.0
RJ,KA,341778876833.3333
RJ,KL,315445314333.3334
RJ,MP,12969714566.666668
RJ,MH,32015681833.33333
RJ,NL,3149106333.3333335
RJ,OD,38802851500.0
RJ,PN,7463316000.0
RJ,TN,956460481666.6666
RJ,UP,17645304833.333336
RJ,WB,26304609333.333332
TN,AP,492306968.0760366
TN,CH,2606337692.8260226
TN,HR,496417212.7995385
TN,KA,92211812.3945327
TN,KL,162422997.60789874
TN,OD,492166377.33346313
TN,PN,1068758197.1329406
TN,UP,3367442.935892856
UP,AP,314215883676.675
UP,AS,650433584968.4718
UP,BR,160669574636.02637
UP,CH,9490331316.042046
UP,CH,3197978008.5585146
UP,GJ,580900648035.4783
UP,HR,19215907997.610413
UP,JK,73524169446.72375
UP,JH,3164942369.3966646
UP,KA,1030026279149.752
UP,KL,144352421984.1699
UP,MP,2617813170.019153
UP,MH,73390898443.39948
UP,NL,87584095791.06259
UP,OD,416967749042.0212
UP,PN,162012903280.2895
UP,RJ,2365094597.853584
UP,TN,594774947042.0848
UP,WB,404687869524.65564
WB,AP,4853334721.083205
WB,AS,97821134929.04333
WB,BR,94792258744.2735
WB,CH,381134887.3395275
WB,CH,2440331263.9325814
WB,HR,82489899477.35262
WB,JH,22017163442.283546
WB,MP,17251293845.07123
WB,NL,1100294982.1796086
WB,PN,347890069293.7739
WB,TN,37519255936.274475
WB,UP,4361676799.8836
