Crop,State,Year,Output_lakh,Production_tonne,rupee_per_kg,match_status,MSP_rs_per_kg,diff_rs_per_kg,pct_diff_from_msp
Wheat,Madhya Pradesh,2017-18,1994900,15910788.0,12.538033942756323,both,17.35,-4.811966057243678,-27.734674681519756
Wheat,Maharashtra,2017-18,225999,1696768.0,13.319381317893784,both,17.35,-4.030618682106217,-23.23123159715399
Wheat,Manipur,2017-18,337,5620.5,5.995907837381016,both,17.35,-11.354092162618986,-65.44145338685294
Wheat,Meghalaya,2017-18,93,886.88,10.48619880930904,both,17.35,-6.863801190690962,-39.560813779198625
Wheat,Nagaland,2017-18,1064,6260.76,16.994741852426863,both,17.35,-0.35525814757313867,-2.047597392352384
Wheat,Odisha,2017-18,22,151.41,14.53008387821148,both,17.35,-2.8199161217885216,-16.25311885757073
Wheat,Punjab,2017-18,2288017,17830424.0,12.832095299584577,both,17.35,-4.517904700415425,-26.039796544181122
Wheat,Rajasthan,2017-18,1140382,9368540.0,12.172462304692086,both,17.35,-5.177537695307915,-29.841715823100373
Wheat,Sikkim,2017-18,29,185.59,15.625841909585644,both,17.35,-1.7241580904143579,-9.937510607575549
Wheat,Telangana,2017-18,623,5552.0,11.221181556195964,both,17.35,-6.128818443804038,-35.32460198157946
Wheat,Tripura,2017-18,34,396.05,8.584774649665446,both,17.35,-8.765225350334555,-50.520030837663136
Wheat,Uttar Pradesh,2017-18,3809323,31879143.45,11.949263963050424,both,17.35,-5.400736036949578,-31.128161596251168
Wheat,Uttarakhand,2017-18,112528,915417.0,12.292539902579916,both,17.35,-5.057460097420085,-29.149625921729598
Wheat,West Bengal,2017-18,32822,312000.0,10.519871794871795,both,17.35,-6.830128205128206,-39.36673317076776
Wheat,Chandigarh,2017-18,304,256.57,118.48618310792376,both,17.35,101.13618310792376,582.9174818900505
Wheat,Dadra & Nagar Haveli,2017-18,12,92.0,13.043478260869565,both,17.35,-4.306521739130437,-24.82145094599675
Wheat,Delhi,2017-18,10761,83417.85,12.900116701641194,both,17.35,-4.449883298358808,-25.64774235365307
Jowar,Andhra Pradesh,2017-18,37756,300480.0,12.565228966986156,both,17.125,-4.559771033013844,-26.62640019278157
Jowar,Bihar,2017-18,204,1447.63,14.091998646062876,both,17.125,-3.0330013539371237,-17.71095681131167
Jowar,Chhattisgarh,2017-18,522,5323.97,9.804713399962807,both,17.125,-7.320286600037193,-42.74619912430478
Jowar,Gujarat,2017-18,16886,125035.0,13.50501859479346,both,17.125,-3.6199814052065395,-21.138577548651327
Jowar,Haryana,2017-18,3357,24912.0,13.47543352601156,both,17.125,-3.6495664739884397,-21.31133707438505
Jowar,Jammu & Kashmir,2017-18,3,40.0,7.5,both,17.125,-9.625,-56.2043795620438
Jowar,Jharkhand,2017-18,228,2210.46,10.314595152140278,both,17.125,-6.810404847859722,-39.768787432757506
Jowar,Karnataka,2017-18,217768,1140328.0,19.09696157596761,both,17.125,1.9719615759676117,11.515104093241527
Jowar,Kerala,2017-18,11,139.03,7.911961447169675,both,17.125,-9.213038552830325,-53.798765272001894
Jowar,Madhya Pradesh,2017-18,62390,570118.5,10.943338972511857,both,17.125,-6.181661027488143,-36.09729067146361
Jowar,Maharashtra,2017-18,284705,1606686.8,17.720006164238107,both,17.125,0.5950061642381073,3.4744885502955167
Jowar,Nagaland,2017-18,38,260.01,14.61482250682666,both,17.125,-2.510177493173339,-14.657970763055994
Jowar,Odisha,2017-18,330,3551.84,9.290959052209558,both,17.125,-7.834040947790442,-45.746224512644915
Jowar,Rajasthan,2017-18,37008,300853.07,12.301021226075571,both,17.125,-4.823978773924429,-28.169219117806882
Jowar,Tamil Nadu,2017-18,66035,430587.16,15.336035565946744,both,17.125,-1.7889644340532556,-10.446507644106601
