source_crop,rice,bajra,maize,jowar,ragi
rice,19683254.48430429,3605769.857939755,11151357.340627197,4556825.66364043,1088145.4034883277
bajra,465477.3922836378,4048050.413718138,866276.3412018347,1653798.1302212346,252943.7225751548
maize,1134742.648909121,1284208.4693993926,2810890.1715025664,2009489.2736107172,231532.43657820276
jowar,116997.0587388565,647093.3144010096,597862.5885173513,584674.3485233372,94438.68981944541
ragi,85059.71145326948,29865.51843660545,466538.7506947788,415647.45667617046,106833.56273917583
