State,n_districts,co_occurring_area_ha
west bengal,8,600517.0750215561
uttar pradesh,21,25761.0
assam,2,19342.0
uttarakhand,3,13953.0
madhya pradesh,16,11410.0
gujarat,8,9277.0
bihar,2,2410.0
nagaland,1,1595.9832096185603
odisha,1,1340.0
dadra and nagar haveli,1,409.0
