Crop,original_total_ha,optimized_total_ha,delta_ha,pct_change
rice,40085352.75,21485531.295689173,-18599821.454310827,-46.40054328650214
bajra,7286546.0,9614987.573894901,2328441.573894901,31.95535407166717
maize,7470863.0,15892925.192543728,8422062.192543728,112.7321193353931
jowar,2041066.0,9220434.872671891,7179368.872671891,351.746042150126
ragi,1103945.0,1773893.8152003065,669948.8152003065,60.686792838439096
