source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,27228020.10443543,420585.16770217963,545003.0,1690116.2433764278,844938.4488889438,2769.535597021064
rice,686360.4452766328,1985590.6216102666,99627.0,1231701.4887022173,326556.0649327816,129716.3794781017
bajra,31553.503578770586,29629.0,182813.4964212294,15179.03913881541,19812.059931324762,279.9009298598279
maize,345512.3824053437,171622.2,78460.0,881306.3364140532,462045.78037246113,29728.12080814199
jowar,339590.0,2406.0,4671.0,422828.15459505457,3423169.0,4498.845404945431
ragi,277.4981134760742,9959.0,3389.0,17110.0,46747.0,13556.501886523925
