source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
arunachal pradesh,himachal pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,jammu and kashmir,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,jharkhand,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,karnataka,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,kerala,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,madhya pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,maharashtra,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,manipur,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,meghalaya,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,mizoram,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,nagaland,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,odisha,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,puducherry,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,punjab,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,rajasthan,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,tamil nadu,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,telangana,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,tripura,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,uttar pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,uttarakhand,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
arunachal pradesh,west bengal,0.0,0.0,0.0,False,0.0,arunachal pradesh,0.0,312867817789.8175,0.0,0.0,False,0.0
assam,andhra pradesh,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,arunachal pradesh,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,bihar,0.0,88557252.67091683,0.0,True,88557252.67091683,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,88557252.67091683
assam,chandigarh,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,chhattisgarh,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,daman and diu,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,delhi,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,goa,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,gujarat,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,haryana,0.0,835911515.4386554,0.0,True,835911515.4386554,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,835911515.4386554
assam,himachal pradesh,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,jammu and kashmir,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,jharkhand,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,karnataka,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,kerala,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,madhya pradesh,0.0,97418341.6820297,0.0,True,97418341.6820297,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,97418341.6820297
assam,maharashtra,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,manipur,0.0,2564236528.8480387,0.0,True,2564236528.8480387,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,2564236528.8480387
assam,meghalaya,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,mizoram,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,nagaland,0.0,1831678920.4274726,0.0,True,1831678920.4274726,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,1831678920.4274726
assam,odisha,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,puducherry,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,punjab,0.0,965245151.37882,0.0,True,965245151.37882,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,965245151.37882
assam,rajasthan,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,tamil nadu,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,telangana,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,tripura,0.0,3867295453.2773094,0.0,True,3867295453.2773094,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,3867295453.2773094
assam,uttar pradesh,0.0,1114599981.6400356,0.0,True,1114599981.6400356,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,1114599981.6400356
assam,uttarakhand,0.0,0.0,0.0,False,0.0,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,0.0
assam,west bengal,0.0,152514699.69084758,0.0,True,152514699.69084758,assam,1.0,317795655969.20044,11517457845.054127,11517457845.054127,False,152514699.69084758
bihar,andhra pradesh,57056122500.0,0.0,57056122500.0,False,57056122500.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,57056122500.0
bihar,arunachal pradesh,0.0,0.0,0.0,False,0.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,0.0
bihar,assam,58547320000.0,3631947476.571164,58547320000.0,False,62179267476.57117,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,62179267476.57117
bihar,chandigarh,0.0,0.0,0.0,False,0.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,0.0
bihar,chhattisgarh,26463645000.0,0.0,26463645000.0,False,26463645000.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,26463645000.0
bihar,daman and diu,0.0,0.0,0.0,False,0.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,0.0
bihar,delhi,0.0,0.0,0.0,False,0.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,0.0
bihar,goa,0.0,0.0,0.0,False,0.0,bihar,1.0,21375279179266.508,1492600558965.3389,1492600558965.3389,False,0.0
