State,Crop,original_area_ha,optimized_area_ha,state_abbrev,crop_order
tamil nadu,maize,324518.0,1954403.0294943852,TN,2
tamil nadu,ragi,86513.0,215076.01943230088,TN,3
tamil nadu,rice,1828865.0,87483.95107331384,TN,4
telangana,bajra,8762.0,557894.0,TE,0
telangana,jowar,67312.0,309709.90011521464,TE,1
telangana,maize,630457.0,526997.8618901061,TE,2
telangana,ragi,1455.0,0.0,TE,3
telangana,rice,1962376.0,1279916.2379946792,TE,4
telangana,wheat,4156.0,0.0,TE,5
tripura,jowar,857.0,14529.20193785285,TR,1
tripura,maize,15736.0,0.0,TR,2
tripura,rice,274068.0,276326.79806214717,TR,4
tripura,wheat,195.0,0.0,TR,5
uttar pradesh,bajra,925397.0,1606238.0702412634,UP,0
uttar pradesh,jowar,169145.0,410315.0980736341,UP,1
uttar pradesh,maize,724343.0,492867.3665561754,UP,2
uttar pradesh,rice,5923632.0,5942407.201192047,UP,4
uttar pradesh,wheat,9752941.0,9043630.26393688,UP,5
uttarakhand,bajra,0.0,10897.0,UR,0
uttarakhand,jowar,0.0,583.0,UR,1
uttarakhand,maize,20872.0,96220.09415242018,UR,2
uttarakhand,ragi,101504.0,93903.90584757982,UR,3
uttarakhand,rice,260492.0,178330.7950304871,UR,4
uttarakhand,wheat,330401.0,333334.2049695129,UR,5
west bengal,bajra,30.0,0.0,WB,0
west bengal,jowar,6.0,0.0,WB,1
west bengal,maize,245228.0,702382.4380268957,WB,2
west bengal,ragi,3379.0,336373.3192588375,WB,3
west bengal,rice,5537431.0,4290370.147372988,WB,4
west bengal,wheat,117360.0,574308.0953412789,WB,5
