source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
assam,bihar,743833850.0,759100781.0222464,15266931.02224648
assam,chandigarh,78409000.0,78850099.59804478,441099.5980447829
assam,chhattisgarh,232690500.0,233999529.3973758,1309029.3973757923
assam,dadra and nagar haveli,0.0,0.0,0.0
assam,daman and diu,0.0,0.0,0.0
assam,delhi,817815066.6666666,822415787.2112677,4600720.544601083
assam,goa,0.0,0.0,0.0
assam,gujarat,0.0,0.0,0.0
assam,haryana,15770318933.333332,15974116508.204485,203797574.87115288
assam,himachal pradesh,0.0,0.0,0.0
assam,jammu and kashmir,0.0,0.0,0.0
assam,jharkhand,0.0,0.0,0.0
assam,karnataka,74240833.33333331,74658484.39050588,417651.05717256665
assam,kerala,0.0,0.0,0.0
assam,lakshadeep,0.0,0.0,0.0
assam,madhya pradesh,294184566.6666667,307403663.91164464,13219097.244977951
assam,maharashtra,385334400.00000006,387502146.6738873,2167746.673887253
assam,manipur,100881675333.33336,101865050184.7311,983374851.397747
assam,meghalaya,0.0,0.0,0.0
assam,mizoram,9203120000.0,9255251927.985931,52131927.985932365
assam,nagaland,21840470000.0,22200285143.04358,359815143.04357815
assam,odisha,0.0,0.0,0.0
assam,puducherry,0.0,0.0,0.0
assam,punjab,49715662366.666664,50165932851.73,450270485.06333447
assam,rajasthan,0.0,0.0,0.0
assam,sikkim,0.0,0.0,0.0
assam,tamil nadu,0.0,0.0,0.0
assam,telangana,157085000.0,157968701.23785362,883701.2378536165
assam,tripura,380846967500.0,383890340388.0029,3043372888.0029488
assam,uttar pradesh,5752323000.0,5919848894.325,167525894.3249998
assam,uttarakhand,314793000.0,316563907.2398234,1770907.239823401
assam,west bengal,1250366000.0,1276449664.0362709,26083664.036270916
bihar,andaman and nicobar,0.0,0.0,0.0
bihar,andhra pradesh,1826398666.6666665,918910034.8000742,-907488631.8665923
bihar,arunachal pradesh,0.0,0.0,0.0
bihar,assam,14334178500.0,8858431421.58226,-5475747078.417742
bihar,chandigarh,860414000.0000001,449579388.1456234,-410834611.8543767
bihar,chhattisgarh,78854000.0,39673557.151884176,-39180442.848115824
bihar,dadra and nagar haveli,0.0,0.0,0.0
bihar,daman and diu,0.0,0.0,0.0
bihar,delhi,0.0,0.0,0.0
bihar,goa,0.0,0.0,0.0
bihar,gujarat,0.0,0.0,0.0
bihar,haryana,39017650833.33333,23080440051.997383,-15937210781.335949
bihar,himachal pradesh,0.0,0.0,0.0
bihar,jammu and kashmir,0.0,0.0,0.0
bihar,jharkhand,0.0,0.0,0.0
bihar,karnataka,654196666.6666667,450044325.75680643,-204152340.9098603
bihar,kerala,0.0,0.0,0.0
bihar,lakshadeep,0.0,0.0,0.0
bihar,madhya pradesh,3436816016.666667,2364303619.662196,-1072512397.0044708
bihar,maharashtra,0.0,0.0,0.0
bihar,manipur,0.0,0.0,0.0
bihar,meghalaya,0.0,0.0,0.0
