iteration,Alpha,nitrogen_mt,water_bcm,status,kharif_status,rabi_status
0,0.0,7.758716931158498,237.5497958138937,Optimal,Optimal,Optimal
0,0.01,7.715293604047703,237.57080540515565,Optimal,Optimal,Optimal
0,0.02,7.67181159873016,237.59929093734758,Optimal,Optimal,Optimal
0,0.03,7.6176461877357164,237.68031834696595,Optimal,Optimal,Optimal
0,0.04,7.557655497870354,237.83874153268792,Optimal,Optimal,Optimal
0,0.05,7.511154161369052,237.97122801722662,Optimal,Optimal,Optimal
0,0.06,7.49582360285073,238.0295033852163,Optimal,Optimal,Optimal
0,0.07,7.481253028277664,238.06954338082397,Optimal,Optimal,Optimal
0,0.08,7.448081700977569,238.25413970856306,Optimal,Optimal,Optimal
0,0.09,7.444294131397771,238.27599677984807,Optimal,Optimal,Optimal
0,0.1,7.404762022260618,238.53100176659282,Optimal,Optimal,Optimal
0,0.11,7.399971590713752,238.56138856718198,Optimal,Optimal,Optimal
0,0.12,7.386078484631985,238.6720857268654,Optimal,Optimal,Optimal
0,0.13,7.3574302638162425,238.9111870442984,Optimal,Optimal,Optimal
0,0.14,7.332307554092331,239.08655836158886,Optimal,Optimal,Optimal
0,0.15,7.289183297872619,239.40538013157573,Optimal,Optimal,Optimal
0,0.16,7.254555765080037,239.7902713153005,Optimal,Optimal,Optimal
0,0.17,7.24463328921858,239.92435970394388,Optimal,Optimal,Optimal
0,0.18,7.226879503388529,240.16325304262563,Optimal,Optimal,Optimal
0,0.19,7.208919684827075,240.36682833710734,Optimal,Optimal,Optimal
0,0.2,7.196209673520371,240.5097783134784,Optimal,Optimal,Optimal
0,0.21,7.1842330471740095,240.7193883512768,Optimal,Optimal,Optimal
0,0.22,7.172768035860635,240.93739940995968,Optimal,Optimal,Optimal
0,0.23,7.145612616346018,241.38065897277374,Optimal,Optimal,Optimal
0,0.24,7.130830387745659,241.65103811646765,Optimal,Optimal,Optimal
0,0.25,7.129013123798458,241.67252383822208,Optimal,Optimal,Optimal
0,0.26,7.104330366919406,242.17214574047208,Optimal,Optimal,Optimal
0,0.27,7.07926228365234,242.658097117612,Optimal,Optimal,Optimal
0,0.28,7.055982367543053,243.2516329222434,Optimal,Optimal,Optimal
0,0.29,7.02283806189552,243.9063372309007,Optimal,Optimal,Optimal
0,0.3,7.006169357960653,244.38504743726827,Optimal,Optimal,Optimal
0,0.31,6.966059261257147,245.59397462980778,Optimal,Optimal,Optimal
0,0.32,6.9548565907877915,245.95081748421057,Optimal,Optimal,Optimal
0,0.33,6.939790230884704,246.41040012706128,Optimal,Optimal,Optimal
0,0.34,6.904589421609877,247.37102569245567,Optimal,Optimal,Optimal
0,0.35,6.891115640949989,247.7333218096915,Optimal,Optimal,Optimal
