scenario,metric,center_pct_reduction,center_display_pct,bootstrap_mean_pct_reduction,bootstrap_p2_5_pct_reduction,bootstrap_p97_5_pct_reduction,bootstrap_mean_display_pct,display_interval_low,display_interval_high,lower_err_display,upper_err_display,n_optimal,n_total
Nitrogen based,Nitrogen Emission,22.33559641876216,-22.33559641876216,21.28758037338555,20.207738480797197,22.41102484486492,-21.28758037338555,-22.41102484486492,-20.207738480797197,0.07542842610275713,2.127857937964965,300,300
Water based,Nitrogen Emission,13.641885140755251,-13.641885140755251,6.7285541704758645,4.812623515457452,8.759124014760138,-6.7285541704758645,-8.759124014760138,-4.812623515457452,0.0,8.8292616252978,300,300
Nitrogen based,Nitrogen Leach,19.598464231585044,-19.598464231585044,18.32825874072143,16.8862619187481,19.858634786194933,-18.32825874072143,-19.858634786194933,-16.8862619187481,0.26017055460988914,2.7122023128369435,300,300
Water based,Nitrogen Leach,11.637547838838572,-11.637547838838572,5.390846539921621,3.586492141185023,7.3685154394011345,-5.390846539921621,-7.3685154394011345,-3.586492141185023,0.0,8.051055697653549,300,300
Nitrogen based,Greenhouse Gas emission,29.408206819343587,-29.408206819343587,28.84572901125141,26.777365479833367,30.507193785845054,-28.84572901125141,-30.507193785845054,-26.777365479833367,1.0989869665014673,2.6308413395102193,300,300
Water based,Greenhouse Gas emission,41.79397874344399,-41.79397874344399,39.43916297464791,37.77583941551534,40.80526703027915,-39.43916297464791,-40.80526703027915,-37.77583941551534,0.0,4.018139327928651,300,300
Nitrogen based,Profit,-17.252696496144576,17.252696496144576,-18.42476930779914,-21.386657747674555,-14.467549407293355,18.42476930779914,14.467549407293355,21.386657747674555,2.7851470888512218,4.133961251529978,300,300
Water based,Profit,-23.13296203876012,23.13296203876012,-18.095859981854264,-21.90375929894682,-14.226205805187002,18.095859981854264,14.226205805187002,21.90375929894682,8.906756233573118,0.0,300,300
Nitrogen based,Calorie,-1.101522792346361,1.101522792346361,-2.394418429899619,-3.16701838899309,-1.5464813860049185,2.394418429899619,1.5464813860049185,3.16701838899309,0.0,2.0654955966467288,300,300
Water based,Calorie,-4.15567347605566,4.15567347605566,-4.094868055863388,-5.0827547658436645,-3.0221119620546113,4.094868055863388,3.0221119620546113,5.0827547658436645,1.1335615140010487,0.9270812897880045,300,300
Nitrogen based,Phosphorus application,14.87565031729937,-14.87565031729937,12.537416566356741,10.935746669841631,14.060485336881548,-12.537416566356741,-14.060485336881548,-10.935746669841631,0.0,3.9399036474577382,300,300
Water based,Phosphorus application,9.376142435027512,-9.376142435027512,5.057302264196963,3.093148597083333,6.960771165746776,-5.057302264196963,-6.960771165746776,-3.093148597083333,0.0,6.282993837944179,300,300
Nitrogen based,Nitrogen application,13.696288788711058,-13.696288788711058,12.411886678785761,11.646287878021731,13.244444862952632,-12.411886678785761,-13.244444862952632,-11.646287878021731,0.0,2.0500009106893273,300,300
Water based,Nitrogen application,7.538761001038996,-7.538761001038996,2.8090469686170088,1.4763240728928633,4.218658988293245,-2.8090469686170088,-4.218658988293245,-1.4763240728928633,0.0,6.062436928146132,300,300
Nitrogen based,Phosphorus Surplus,19.96569198462604,-19.96569198462604,17.522340121237324,15.483293278309473,19.535917986596672,-17.522340121237324,-19.535917986596672,-15.483293278309473,0.0,4.482398706316568,300,300
Water based,Phosphorus Surplus,14.024459886029488,-14.024459886029488,8.70291534330155,6.199101223595704,11.02995560675981,-8.70291534330155,-11.02995560675981,-6.199101223595704,0.0,7.825358662433784,300,300
Nitrogen based,Nitrogen Surplus,21.40751199738997,-21.40751199738997,20.423544760228857,19.314787484285393,21.58717213088646,-20.423544760228857,-21.58717213088646,-19.314787484285393,0.17966013349649046,2.092724513104578,300,300
Water based,Nitrogen Surplus,12.9574075523408,-12.9574075523408,6.28652080999535,4.428176776348263,8.287685685646418,-6.28652080999535,-8.287685685646418,-4.428176776348263,0.0,8.529230775992538,300,300
Nitrogen based,Water Demand,36.25683350088591,-36.25683350088591,27.451291131028587,17.054886200931154,33.17413539540079,-27.451291131028587,-33.17413539540079,-17.054886200931154,0.0,19.201947299954757,300,300
Water based,Water Demand,44.4927340175761,-44.4927340175761,46.17175946005819,44.79821123848915,47.523074517397916,-46.17175946005819,-47.523074517397916,-44.79821123848915,3.0303404998218184,0.0,300,300
