endpoint,Alpha,metric,units,deterministic_value,mean_value,median_value,p2_5_value,p25_value,p75_value,p97_5_value,min_value,max_value,n_bootstrap
Water-based,0.0,nitrogen_mt,Tg N,7.951661123120373,7.951576948345402,7.952893762030712,7.844109608356278,7.912900780064814,7.987798066810175,8.055381639623604,7.820958852860756,8.123776321333784,500
Water-based,0.0,water_bcm,BCM,334.05251941518776,337.94897695870947,337.67949684985206,329.217323544936,335.0289075609108,341.07823012805375,347.6950451388617,323.0868749478453,355.6408397563711,500
Nitrogen-based,1.0,nitrogen_mt,Tg N,7.177300921162192,7.177666242065911,7.178357421748686,7.08487575786997,7.14364230898093,7.209663151381929,7.278006993896678,7.01446777119718,7.3119388166809784,500
Nitrogen-based,1.0,water_bcm,BCM,380.7915369841325,385.645795624317,385.33100849179755,372.7305488597836,381.2151756301691,389.9834556045977,399.01678778613217,368.0336333020651,403.8081644557517,500
