season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
rabi,wheat,0.0,100.0,2997829060.776767,2914074226.458682,2.7938495698077936,30731432.5,30761953.62677574,100.09931566573,-0.09931566573000324,Optimal,True,state,8
rabi,wheat,0.1,90.0,2997829060.776767,2914079328.9457984,2.7936793637349027,30731432.5,30762369.226775743,100.10066802702978,-0.10066802702979455,Optimal,True,state,8
rabi,wheat,0.2,80.0,2997829060.776767,2914085675.038569,2.793467674120788,30731432.5,30762784.82677574,100.10202038832958,-0.10202038832957375,Optimal,True,state,8
rabi,wheat,0.3,70.0,2997829060.776767,2914092028.489996,2.7932557390404953,30731432.5,30763200.426775742,100.10337274962936,-0.10337274962936506,Optimal,True,state,8
rabi,wheat,0.4,60.0,2997829060.776767,2914098438.7957087,2.7930419074449393,30731432.5,30763616.026775744,100.10472511092915,-0.10472511092915637,Optimal,True,state,8
rabi,wheat,0.5,50.0,2997829060.776767,2914157524.218683,2.7910709670818887,30731432.5,30779311.62677574,100.15579855177835,-0.15579855177835128,Optimal,True,state,8
rabi,wheat,0.6,40.0,2997829060.776767,2914372699.204771,2.7838932734333883,30731432.5,30800839.62677574,100.2258506067875,-0.22585060678750193,Optimal,True,state,8
rabi,wheat,0.7,30.000000000000004,2997829060.776767,2914710470.446003,2.77262607859392,30731432.5,30822367.62677574,100.29590266179665,-0.2959026617966526,Optimal,True,state,8
rabi,wheat,0.8,19.999999999999996,2997829060.776767,2915260696.1215034,2.754271940838053,30731432.5,30843895.62677574,100.3659547168058,-0.3659547168058032,Optimal,True,state,8
rabi,wheat,0.9,9.999999999999998,2997829060.776767,2915980346.681561,2.7302662171804415,30731432.5,30888377.7153861,100.51069931538694,-0.5106993153869417,Optimal,True,state,8
rabi,wheat,1.0,0.0,2997829060.776767,2919300064.4984946,2.6195288218976875,30731432.5,31072179.008981932,101.10878823817254,-1.1087882381725354,Optimal,True,state,8
