gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,baseline_retained_area,optimized_retained_area,pct_reduction_n_surplus,realized_retained_share_pct,realized_staple_replacement_pct,configuration
1.0,0.0,8285335580.939308,7739844508.146418,70816785.25,72604808.04020344,6.583813865642461,102.52485732569093,-2.5248573256909275,equation_aligned_district_no_historical_caps
0.9,9.999999999999998,8285335580.939308,7602068158.528774,70816785.25,69910761.20071623,8.246707882085229,98.72060833305933,1.2793916669406744,equation_aligned_district_no_historical_caps
0.8,19.999999999999996,8285335580.939308,7480264702.783552,70816785.25,67715167.86944602,9.716816781783088,95.62022284744424,4.379777152555757,equation_aligned_district_no_historical_caps
0.7,30.000000000000004,8285335580.939308,7364277752.342794,70816785.25,65385655.42496517,11.116723270876777,92.33073090530493,7.66926909469507,equation_aligned_district_no_historical_caps
0.6,40.0,8285335580.939308,7251766082.137997,70816785.25,63129761.40026291,12.474684805514368,89.14519513615299,10.854804863847011,equation_aligned_district_no_historical_caps
0.5,50.0,8285335580.939308,7142596777.0016775,70816785.25,60991141.69668572,13.792305607591073,86.12526180251272,13.874738197487273,equation_aligned_district_no_historical_caps
0.4,60.0,8285335580.939308,7035933269.2406645,70816785.25,58925798.40374313,15.079682645238117,83.20880169259468,16.791198307405327,equation_aligned_district_no_historical_caps
0.3,70.0,8285335580.939308,6931267669.584793,70816785.25,56695563.60953056,16.34294589671894,80.05949918424257,19.94050081575743,equation_aligned_district_no_historical_caps
0.2,80.0,8285335580.939308,6827978825.605722,70816785.25,54425847.73584835,17.58959237192859,76.85444565679201,23.145554343207987,equation_aligned_district_no_historical_caps
0.1,90.0,8285335580.939308,6726114603.081023,70816785.25,52225387.478173696,18.819044354043125,73.74718761068542,26.252812389314588,equation_aligned_district_no_historical_caps
0.0,100.0,8285335580.939308,6624987861.425215,70816785.25,50116845.22949886,20.039595298152786,70.76972648867715,29.23027351132285,equation_aligned_district_no_historical_caps
