season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
rabi,wheat,0.0,100.0,2997829060.7767687,2679280543.316712,10.625973362787988,30731432.5,28631313.933809657,93.16621974523855,6.833780254761452,Optimal,False,state,8
rabi,wheat,0.1,90.0,2997829060.7767687,2679292586.714363,10.62557162548386,30731432.5,28631752.833809655,93.16764792467666,6.83235207532335,Optimal,False,state,8
rabi,wheat,0.2,80.0,2997829060.7767687,2679304630.1120143,10.625169888179729,30731432.5,28632191.73380965,93.16907610411475,6.830923895885263,Optimal,False,state,8
rabi,wheat,0.3,70.0,2997829060.7767687,2679316673.509665,10.624768150875614,30731432.5,28632630.633809656,93.17050428355286,6.8294957164471395,Optimal,False,state,8
rabi,wheat,0.4,60.0,2997829060.7767687,2679345421.264139,10.623809198450664,30731432.5,28648205.53380965,93.22118496692158,6.778815033078427,Optimal,False,state,8
rabi,wheat,0.5,50.0,2997829060.7767687,2680794234.4916296,10.5754804512767,30731432.5,29010925.680230882,94.40147536315101,5.598524636848991,Optimal,False,state,8
rabi,wheat,0.6,40.0,2997829060.7767687,2686318420.718514,10.39120756196616,30731432.5,29461844.330230884,95.86876345653879,4.131236543461212,Optimal,False,state,8
rabi,wheat,0.7,30.000000000000004,2997829060.7767687,2694222736.068139,10.127539581258247,30731432.5,29914223.980230883,97.34080564005887,2.659194359941136,Optimal,False,state,8
rabi,wheat,0.8,19.999999999999996,2997829060.7767687,2704282919.170867,9.791957301589466,30731432.5,30366603.63023088,98.81284782357893,1.1871521764210593,Optimal,False,state,8
rabi,wheat,0.9,9.999999999999998,2997829060.7767687,2718597776.4128065,9.314449846970609,30731432.5,30818983.280230884,100.28489000709904,-0.2848900070990297,Optimal,False,state,8
rabi,wheat,1.0,0.0,2997829060.7767687,2742388729.060506,8.520843801883606,30731432.5,31339893.837340012,101.97993158093107,-1.979931580931062,Optimal,False,state,8
