season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
kharif,rice,0.0,100.0,5287506520.162543,3945707318.108503,25.376785767307048,40085352.75,21485531.295689173,53.59945671349786,46.40054328650214,Optimal,False,district,5
kharif,rice,0.1,90.0,5287506520.162543,4036762254.941363,23.65470870724773,40085352.75,23325162.42048448,58.188741822870654,41.81125817712935,Optimal,False,district,5
kharif,rice,0.2,80.0,5287506520.162543,4128455534.5783973,21.920558984928032,40085352.75,25213964.835147757,62.90069340888551,37.09930659111449,Optimal,False,district,5
kharif,rice,0.3,70.0,5287506520.162543,4221224277.6013494,20.166069554622798,40085352.75,27152434.40589297,67.7365484974882,32.263451502511806,Optimal,False,district,5
kharif,rice,0.4,60.0,5287506520.162543,4314588392.448195,18.40032015098942,40085352.75,29074372.70091887,72.53116339588372,27.46883660411628,Optimal,False,district,5
kharif,rice,0.5,50.0,5287506520.162543,4409002939.052155,16.614704450206194,40085352.75,30868682.729885712,77.0073870184059,22.992612981594103,Optimal,False,district,5
kharif,rice,0.6,40.0,5287506520.162543,4504957696.076662,14.799959510249925,40085352.75,32700418.884700008,81.57697672923686,18.423023270763142,Optimal,False,district,5
kharif,rice,0.7,30.000000000000004,5287506520.162543,4603384591.637649,12.938460234822823,40085352.75,34677271.17566316,86.50858429994271,13.491415700057276,Optimal,False,district,5
kharif,rice,0.8,19.999999999999996,5287506520.162543,4704896101.474213,11.018623172693896,40085352.75,36750484.879519105,91.68058245294874,8.31941754705126,Optimal,False,district,5
kharif,rice,0.9,9.999999999999998,5287506520.162543,4811010000.761354,9.011743391411285,40085352.75,38669651.56795758,96.46828308865906,3.5317169113409386,Optimal,False,district,5
kharif,rice,1.0,0.0,5287506520.162543,4928965817.425907,6.7809032739616235,40085352.75,41002585.08700657,102.28819824220349,-2.2881982422034914,Optimal,False,district,5
