crop_name,matched_state_year_obs,median_rs_per_kg,p25_rs_per_kg,p75_rs_per_kg
Rice,235,21.405972951361125,17.79832695173818,25.67816221073916
Wheat,154,15.35576088296373,13.630409794434494,18.15047657675928
Jowar,84,17.46531948914177,14.893617021276595,22.08577578083931
Bajra,93,13.62326434372544,11.463930964973231,17.25548531052436
Maize,196,13.699530793934642,11.925992969826057,16.636690647482013
Ragi,83,17.88460584412363,12.933333333333334,21.96915617998153
