crop_name,2013-14,2014-15,2015-16,2016-17,2017-18
Rice,1981.9610271785782,1976.057400084189,2242.299082875119,2107.8241547839693,2324.1588483968144
Wheat,1383.773299698967,1519.0749263835082,1545.289701524041,1458.1782230241497,1594.4298445777176
Jowar,1458.523284778636,1736.93003299567,2023.483723835055,1770.3162512459396,1619.4054442103775
Bajra,1191.5371113226145,1207.3748275728017,1450.4610284436221,1478.5449977470964,1287.4073146130272
Maize,1217.8526943499796,1256.5602114938595,1455.322786374448,1422.150933400569,1258.2212758258725
Ragi,1668.5890258553366,1698.0299065876607,1678.6431686113538,3235.5287850576265,2207.1793041882147
