Crop,original_total_ha,optimized_total_ha,pct_change,income_variant
bajra,7565813.0,11689263.867614642,54.501094166808535,profit_profit
jowar,6238229.0,8840230.691013914,41.710583100009856,profit_profit
maize,9439537.82,18595203.737810675,96.99273515714009,profit_profit
ragi,1194984.0,2063839.143512389,72.70851689331313,profit_profit
rice,44544904.75,30486920.47790567,-31.55912971638879,profit_profit
wheat,30731432.5,28039443.15214271,-8.75972621145236,profit_profit
bajra,7565813.0,11527144.95914154,52.35831177880737,profit_msp
jowar,6238229.0,8710908.050772728,39.637516525487094,profit_msp
maize,9439537.82,18930154.465991974,100.54111575127916,profit_msp
ragi,1194984.0,2382269.3549069637,99.35575329100337,profit_msp
rice,44544904.75,30336695.09778663,-31.896374528028076,profit_msp
wheat,30731432.5,27827729.141400166,-9.448643041940315,profit_msp
bajra,7565813.0,11996863.755921584,58.56674961331431,profit_none
jowar,6238229.0,8992825.255554162,44.15670305713628,profit_none
maize,9439537.82,19623780.959998958,107.88921379626358,profit_none
ragi,1194984.0,2392110.5611146525,100.17929621774455,profit_none
rice,44544904.75,30861044.430428,-30.71924925279361,profit_none
wheat,30731432.5,25848276.106982645,-15.889777975749602,profit_none
