id,district,dt_code,st_nm,st_code,year,state_key,district_key,map_state,map_district,nitrogen_surplus_kg,calorie_kcal,water_m3,nitrogen_surplus_ggn,calorie_bkcal,water_bcm
,Chandigarh,055,Chandigarh,04,2011_c,chandigarh,chandigarh,chandigarh,chandigarh,19019.716802692896,8458320000.0,1455894.888491245,0.019019716802692897,8.45832,0.0014558948884912449
,Sri Muktsar Sahib,044,Punjab,03,2011_c,punjab,sri muktsar sahib,punjab,sri muktsar sahib,40443532.71950409,6013480000064.08,1717666440.4787147,40.44353271950409,6013.48000006408,1.7176664404787148
,Rudraprayag,058,Uttarakhand,05,2011_c,uttarakhand,rudraprayag,uttarakhand,rudraprayag,2243848.220856108,112246749994.68141,188518023.69148207,2.243848220856108,112.24674999468141,0.18851802369148207
,Pithoragarh,062,Uttarakhand,05,2011_c,uttarakhand,pithoragarh,uttarakhand,pithoragarh,3268538.7188426396,254655670043.64542,421699619.89482605,3.2685387188426396,254.65567004364542,0.42169961989482607
,Sangrur,053,Punjab,03,2011_c,punjab,sangrur,punjab,sangrur,76295609.47092773,10282648000270.56,2209626921.3209534,76.29560947092773,10282.648000270561,2.2096269213209534
,Barnala,054,Punjab,03,2011_c,punjab,barnala,punjab,barnala,27631092.02636818,3972380000000.0,895936477.2354679,27.63109202636818,3972.38,0.8959364772354679
,Bathinda,046,Punjab,03,2011_c,punjab,bathinda,punjab,bathinda,42928814.534196876,6990568000000.0,1512385468.533383,42.928814534196874,6990.568,1.5123854685333828
,Patiala,048,Punjab,03,2011_c,punjab,patiala,punjab,patiala,55633041.29656796,7515299999953.72,2082746310.6233034,55.63304129656796,7515.29999995372,2.0827463106233033
,Yamunanagar,071,Haryana,06,2011_c,haryana,yamunanagar,haryana,yamunanagar,12360837.914728729,2499202000028.4795,641761467.5701503,12.360837914728728,2499.2020000284797,0.6417614675701503
,Saharanpur,132,Uttar Pradesh,09,2011_c,uttar pradesh,saharanpur,uttar pradesh,saharanpur,14623939.818845104,1988473700088.8647,432254506.4309857,14.623939818845104,1988.4737000888647,0.4322545064309857
,Ganganagar,099,Rajasthan,08,2011_c,rajasthan,ganganagar,rajasthan,ganganagar,27898894.646940585,3560614720001.3535,599643643.5578688,27.898894646940587,3560.6147200013534,0.5996436435578688
,Mansa,047,Punjab,03,2011_c,punjab,mansa,punjab,mansa,33897756.33659539,4643284000049.841,1026501346.0735899,33.89775633659539,4643.284000049841,1.02650134607359
,Kurukshetra,072,Haryana,06,2011_c,haryana,kurukshetra,haryana,kurukshetra,25570279.512195952,3547305999931.6484,953825100.2974837,25.570279512195953,3547.3059999316483,0.9538251002974837
,Bageshwar,063,Uttarakhand,05,2011_c,uttarakhand,bageshwar,uttarakhand,bageshwar,3651525.974234122,177563040002.16266,285142338.57659495,3.6515259742341217,177.56304000216267,0.28514233857659493
