crop,baseline_ha,optimized_ha,gross_loss_ha,gross_gain_ha,gross_loss_pct,gross_gain_pct,net_change_pct
rice,44544904.75,30861044.430428,17372051.149282902,3688190.8297109026,38.99896351059748,8.27971425780387,-30.71924925279361
wheat,30731432.5,25848276.10698265,5866401.152312794,983244.7592954386,19.089253819563385,3.1994758438137847,-15.88977797574959
