source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,24865031.347687207,1127286.5587973974,842653.8798002511,2930234.848170995,963093.1350062722,3132.7305378782044
rice,505464.36482666316,27172853.600717098,4293327.486998592,8737467.258492593,2351807.581604204,1483984.4573604343
bajra,1729.8614941239846,606579.0827686962,3945569.548043641,1375939.8381167254,1392235.7468874534,243758.9226893602
maize,216305.30287117875,1566003.5720328547,1561439.259573033,4617495.851779719,1188799.8541300606,289493.97961315355
jowar,257543.27105723787,247780.61611195415,1245441.880710987,1335217.6843596164,2906522.0768463784,245723.47091382643
ragi,2201.9590458259077,140541.0,108431.7007950797,627425.4790793011,190366.86107979325,126017.0
