Crop,original_total_ha,optimized_total_ha,delta_ha,pct_change
wheat,30731432.5,25848276.106982645,-4883156.393017355,-15.889777975749602
rice,44544904.75,30861044.430428,-13683860.319572002,-30.71924925279361
bajra,7565813.0,11996863.755921584,4431050.755921584,58.56674961331431
maize,9439537.82,19623780.959998958,10184243.139998958,107.88921379626358
jowar,6238229.0,8992825.255554162,2754596.255554162,44.15670305713628
ragi,1194984.0,2392110.5611146525,1197126.5611146525,100.17929621774455
