,target,source,avg_trade_qtl
132,Nagaland,Assam,18720.0
133,Odisha,Assam,0.0
134,Punjab,Assam,13477.266666666668
135,Puducherry,Assam,0.0
136,Rajasthan,Assam,0.0
137,Sikkim,Assam,0.0
138,Telangana,Assam,0.0
139,Tamil Nadu,Assam,0.0
140,Tripura,Assam,71172.75
141,Uttarakhand,Assam,0.0
142,Uttar Pradesh,Assam,10678.666666666666
143,West Bengal,Assam,1505.0
144,Andhra Pradesh,Bihar,0.0
145,Andaman & Nicobar Islands,Bihar,0.0
146,Arunachal Pradesh,Bihar,0.0
147,Assam,Bihar,27668.916666666668
148,Bihar,Bihar,4355.0
149,Chattisgarh,Bihar,0.0
150,Chandigarh,Bihar,280.3333333333333
151,Daman & Diu,Bihar,0.0
152,Delhi,Bihar,0.0
153,Dadra & Nagar Haveli,Bihar,0.0
154,Goa,Bihar,0.0
155,Gujarat,Bihar,0.0
156,Himachal Pradesh,Bihar,0.0
157,Haryana,Bihar,57968.916666666664
158,Jharkhand,Bihar,0.0
159,Jammu & Kashmir,Bihar,0.0
160,Kerala,Bihar,0.0
161,Karnataka,Bihar,2031.6666666666667
162,Lakshadeep,Bihar,0.0
163,Maharashtra,Bihar,0.0
164,Meghalaya,Bihar,0.0
165,Manipur,Bihar,0.0
166,Madhya Pradesh,Bihar,10673.341666666667
167,Mizoram,Bihar,0.0
168,Nagaland,Bihar,2212.5
169,Odisha,Bihar,0.0
170,Punjab,Bihar,108182.97499999999
171,Puducherry,Bihar,0.0
172,Rajasthan,Bihar,841.0
173,Sikkim,Bihar,0.0
174,Telangana,Bihar,2145.0
175,Tamil Nadu,Bihar,6631.583333333333
176,Tripura,Bihar,0.0
177,Uttarakhand,Bihar,220.0
178,Uttar Pradesh,Bihar,2309.25
179,West Bengal,Bihar,8850.0
180,Andhra Pradesh,Chattisgarh,0.0
181,Andaman & Nicobar Islands,Chattisgarh,0.0
182,Arunachal Pradesh,Chattisgarh,0.0
183,Assam,Chattisgarh,0.0
184,Bihar,Chattisgarh,0.0
185,Chattisgarh,Chattisgarh,0.0
186,Chandigarh,Chattisgarh,0.0
187,Daman & Diu,Chattisgarh,0.0
188,Delhi,Chattisgarh,0.0
189,Dadra & Nagar Haveli,Chattisgarh,0.0
190,Goa,Chattisgarh,0.0
191,Gujarat,Chattisgarh,0.0
192,Himachal Pradesh,Chattisgarh,0.0
193,Haryana,Chattisgarh,220.25
194,Jharkhand,Chattisgarh,0.0
195,Jammu & Kashmir,Chattisgarh,0.0
196,Kerala,Chattisgarh,0.0
197,Karnataka,Chattisgarh,0.0
198,Lakshadeep,Chattisgarh,0.0
199,Maharashtra,Chattisgarh,0.0
200,Meghalaya,Chattisgarh,0.0
201,Manipur,Chattisgarh,0.0
202,Madhya Pradesh,Chattisgarh,1109.25
203,Mizoram,Chattisgarh,0.0
204,Nagaland,Chattisgarh,0.0
205,Odisha,Chattisgarh,0.0
206,Punjab,Chattisgarh,0.0
207,Puducherry,Chattisgarh,0.0
208,Rajasthan,Chattisgarh,0.0
209,Sikkim,Chattisgarh,0.0
210,Telangana,Chattisgarh,0.0
211,Tamil Nadu,Chattisgarh,533.3333333333334
212,Tripura,Chattisgarh,0.0
213,Uttarakhand,Chattisgarh,0.0
214,Uttar Pradesh,Chattisgarh,0.0
215,West Bengal,Chattisgarh,0.0
216,Andhra Pradesh,Chandigarh,2220.0
217,Andaman & Nicobar Islands,Chandigarh,0.0
218,Arunachal Pradesh,Chandigarh,0.0
219,Assam,Chandigarh,0.0
220,Bihar,Chandigarh,5774.166666666667
221,Chattisgarh,Chandigarh,2212.5
222,Chandigarh,Chandigarh,0.0
223,Daman & Diu,Chandigarh,0.0
224,Delhi,Chandigarh,0.0
225,Dadra & Nagar Haveli,Chandigarh,0.0
226,Goa,Chandigarh,0.0
227,Gujarat,Chandigarh,4445.0
228,Himachal Pradesh,Chandigarh,0.0
229,Haryana,Chandigarh,0.0
230,Jharkhand,Chandigarh,0.0
231,Jammu & Kashmir,Chandigarh,0.0
232,Kerala,Chandigarh,0.0
233,Karnataka,Chandigarh,0.0
234,Lakshadeep,Chandigarh,0.0
235,Maharashtra,Chandigarh,2215.0
236,Meghalaya,Chandigarh,0.0
237,Manipur,Chandigarh,0.0
238,Madhya Pradesh,Chandigarh,0.0
239,Mizoram,Chandigarh,0.0
240,Nagaland,Chandigarh,0.0
241,Odisha,Chandigarh,2207.5
242,Punjab,Chandigarh,0.0
243,Puducherry,Chandigarh,0.0
244,Rajasthan,Chandigarh,0.0
245,Sikkim,Chandigarh,0.0
246,Telangana,Chandigarh,0.0
247,Tamil Nadu,Chandigarh,2222.5
248,Tripura,Chandigarh,0.0
249,Uttarakhand,Chandigarh,0.0
250,Uttar Pradesh,Chandigarh,7625.833333333333
251,West Bengal,Chandigarh,0.0
252,Andhra Pradesh,Daman & Diu,0.0
253,Andaman & Nicobar Islands,Daman & Diu,0.0
254,Arunachal Pradesh,Daman & Diu,0.0
255,Assam,Daman & Diu,0.0
256,Bihar,Daman & Diu,0.0
257,Chattisgarh,Daman & Diu,0.0
258,Chandigarh,Daman & Diu,0.0
259,Daman & Diu,Daman & Diu,0.0
260,Delhi,Daman & Diu,0.0
261,Dadra & Nagar Haveli,Daman & Diu,0.0
262,Goa,Daman & Diu,0.0
263,Gujarat,Daman & Diu,0.0
264,Himachal Pradesh,Daman & Diu,0.0
265,Haryana,Daman & Diu,0.0
266,Jharkhand,Daman & Diu,0.0
267,Jammu & Kashmir,Daman & Diu,0.0
268,Kerala,Daman & Diu,0.0
269,Karnataka,Daman & Diu,0.0
270,Lakshadeep,Daman & Diu,0.0
271,Maharashtra,Daman & Diu,0.0
272,Meghalaya,Daman & Diu,0.0
273,Manipur,Daman & Diu,0.0
274,Madhya Pradesh,Daman & Diu,0.0
275,Mizoram,Daman & Diu,0.0
276,Nagaland,Daman & Diu,0.0
277,Odisha,Daman & Diu,0.0
278,Punjab,Daman & Diu,0.0
279,Puducherry,Daman & Diu,0.0
280,Rajasthan,Daman & Diu,0.0
281,Sikkim,Daman & Diu,0.0
