,state,district,Year,Season,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),N_applied(kg/ha),P_applied(kg/ha),K_applied(kg/ha),Manure (kg/ha),calorie_per_100g,MSP_RsperQntl,CostofCultivation_rs_ha,CWR_y,CWU green_y,CWU blue_y,CWR m3/ha,CWU green m3/ha,CWU blue m3/ha
15706,tamil nadu,cuddalore,2017,Kharif,rice,123810,531128,4.289863501,140.5764688,50.43703302,75.4282173,2549.771558,345,1570,60054.43,32335367,16791899,14351936,7537.621418,3914.320117,3345.546076
15711,tamil nadu,cuddalore,2018,Kharif,rice,126780,474982,3.746505758,137.4603293,33.68037941,62.64325992,4442.477369,345,,,32335367,16791899,14351936,8630.806701,4482.016066,3830.75242
15716,tamil nadu,cuddalore,2019,Kharif,rice,124074,463213,3.733360736,141.9863865,44.10596448,69.04700648,3355.938987,345,,,32335367,16791899,14351936,8661.195444,4497.797075,3844.240354
15717,tamil nadu,dharmapuri,2009,Kharif,rice,20310,79675,3.922944362,116.6005033,60.93444283,66.11270605,2986.569126,345,1000,,32335367,16791899,14351936,8242.626969,4280.432616,3658.460247
15720,tamil nadu,dharmapuri,2010,Kharif,rice,22862,93207,4.0769399,265.8203125,116.796875,152.34375,2343.75,345,1000,,32335367,16791899,14351936,7931.283706,4118.750683,3520.271662
15725,tamil nadu,dharmapuri,2011,Kharif,rice,27067,128226,4.737355451,105.8408216,85.62259306,94.35173298,0,345,1095,,32335367,16791899,14351936,6825.615543,3544.572319,3029.524837
15728,tamil nadu,dharmapuri,2012,Kharif,rice,12003,53669,4.471298842,58.3049799,52.64460254,88.15341789,0,345,1265,51157.05,32335367,16791899,14351936,7231.76154,3755.485731,3209.791273
15733,tamil nadu,dharmapuri,2013,Kharif,rice,26689,132535,4.965903556,115.3756128,63.19609914,59.99889944,3010.386126,345,1327.5,,32335367,16791899,14351936,6511.477043,3381.438808,2890.095597
15738,tamil nadu,dharmapuri,2014,Kharif,rice,18303,95163,5.199311588,141.7410714,40.13392857,150.6696429,2589.285714,345,1380,,32335367,16791899,14351936,6219.163143,3229.638908,2760.353127
15743,tamil nadu,dharmapuri,2015,Kharif,rice,33349,149426,4.480674083,129.6671102,28.2848987,117.87324,1522.364354,345,1430,55450.91,32335367,16791899,14351936,7216.629998,3747.627854,3203.075192
15748,tamil nadu,dharmapuri,2016,Kharif,rice,11432,42883,3.751137159,72.91666667,25,25,1458.333333,345,1490,75492.62,32335367,16791899,14351936,8620.150539,4476.482274,3826.022721
15753,tamil nadu,dharmapuri,2017,Kharif,rice,17272,82897,4.799502084,131.0862531,60.27060717,69.19101502,204.7589851,345,1570,60054.43,32335367,16791899,14351936,6737.233661,3498.675218,2990.296857
15758,tamil nadu,dharmapuri,2018,Kharif,rice,3411,14755,4.325710935,110.1476191,61.31341991,23.31168831,0,345,,,32335367,16791899,14351936,7475.156682,3881.881904,3317.821328
15763,tamil nadu,dharmapuri,2019,Kharif,rice,13237,56519,4.269774118,91.79137893,41.10366755,38.90021604,434.7826087,345,,,32335367,16791899,14351936,7573.086095,3932.737081,3361.286945
15764,tamil nadu,dindigul,2009,Kharif,rice,16647,78849,4.736529104,138.7101098,67.73701634,108.4614405,10021.7297,345,1000,,32335367,16791899,14351936,6826.806357,3545.190715,3030.053375
15767,tamil nadu,dindigul,2010,Kharif,rice,18349,98053,5.343778953,129.9429786,59.85835359,57.87677554,9485.815044,345,1000,,32335367,16791899,14351936,6051.030046,3142.326647,2685.727858
15772,tamil nadu,dindigul,2011,Kharif,rice,19158,103376,5.395970352,95.83047859,55.00253085,45.45346474,12549.12953,345,1095,,32335367,16791899,14351936,5992.502718,3111.933147,2659.750715
15775,tamil nadu,dindigul,2012,Kharif,rice,9476,30806,3.250949768,93.36280563,57.73167408,57.6850123,8251.012102,345,1265,51157.05,32335367,16791899,14351936,9946.436983,5165.228687,4414.690175
15780,tamil nadu,dindigul,2013,Kharif,rice,4234,25758,6.08360888,85.78343254,58.82266865,54.87797619,8645.833333,345,1327.5,,32335367,16791899,14351936,5315.162042,2760.187141,2359.115499
15785,tamil nadu,dindigul,2014,Kharif,rice,12071,70676,5.855024439,91.81480664,37.45701474,58.20862548,10879.51131,345,1380,,32335367,16791899,14351936,5522.66986,2867.946868,2451.217096
15790,tamil nadu,dindigul,2015,Kharif,rice,14989,71945,4.799853226,89.79900036,36.5095507,57.104933,9968.115989,345,1430,55450.91,32335367,16791899,14351936,6736.740788,3498.419266,2990.078097
15794,tamil nadu,dindigul,2016,Kharif,rice,1522,4506,2.960578187,83.43015785,35.55493202,51.36102523,9320.736868,345,1490,75492.62,32335367,16791899,14351936,10921.97705,5671.830954,4847.680114
15799,tamil nadu,dindigul,2017,Kharif,rice,5310,29460,5.548022599,126.6278284,58.38278669,93.50415214,96.77133516,345,1570,60054.43,32335367,16791899,14351936,5828.268797,3026.645746,2586.856081
15804,tamil nadu,dindigul,2018,Kharif,rice,3651,14762,4.043275815,72.53588205,33.40537427,74.37959997,437.2634207,345,,,32335367,16791899,14351936,7997.319125,4153.043168,3549.581245
15809,tamil nadu,dindigul,2019,Kharif,rice,3641,15359,4.218346608,135.3757509,81.51660643,83.68547277,253.4079658,345,,,32335367,16791899,14351936,7665.412543,3980.682613,3402.265706
15810,tamil nadu,erode,2009,Kharif,rice,38114,156419,4.103977541,138.7515956,94.55568503,126.1345607,141.6559027,345,1000,,32335367,16791899,14351936,7879.031178,4091.615715,3497.079566
15813,tamil nadu,erode,2010,Kharif,rice,36659,154538,4.215554161,83.37966683,75.44627424,97.20553362,336.8817018,345,1000,,32335367,16791899,14351936,7670.490228,3983.319478,3404.519418
15817,tamil nadu,erode,2011,Kharif,rice,33719,144357,4.281176785,97.98005471,61.53125558,78.75137204,5244.932432,345,1095,,32335367,16791899,14351936,7552.915618,3922.262463,3352.334352
15820,tamil nadu,erode,2012,Kharif,rice,6603,29125,4.410873845,77.71428572,55.85714286,40.17857143,3794.642857,345,1265,51157.05,32335367,16791899,14351936,7330.830156,3806.932501,3253.76252
15824,tamil nadu,erode,2013,Kharif,rice,30889,163021,5.277639289,99.74716867,62.07958372,43.70982553,3134.374043,345,1327.5,,32335367,16791899,14351936,6126.861884,3181.706456,2719.385546
15828,tamil nadu,erode,2014,Kharif,rice,37192,176997,4.759007313,107.5588016,51.89383805,55.44468057,194195.4637,345,1380,,32335367,16791899,14351936,6794.561317,3528.445723,3015.741531
15832,tamil nadu,erode,2015,Kharif,rice,34339,146570,4.268324645,113.9939962,20.7439925,57.72078472,13086.56227,345,1430,55450.91,32335367,16791899,14351936,7575.657825,3934.072592,3362.428398
15836,tamil nadu,erode,2016,Kharif,rice,695,1568,2.256115108,113.9695012,51.86247167,58.07512254,2610.972397,345,1490,75492.62,32335367,16791899,14351936,14332.32147,7442.837886,6361.349184
15841,tamil nadu,erode,2017,Kharif,rice,9037,46723,5.170189222,93.31226678,77.31476312,81.76770708,820.7934337,345,1570,60054.43,32335367,16791899,14351936,6254.194114,3247.830646,2775.901497
15846,tamil nadu,erode,2018,Kharif,rice,27429,142503,5.195340698,77.56986463,49.7353929,68.30401357,52.34460196,345,,,32335367,16791899,14351936,6223.916559,3232.107378,2762.462913
15851,tamil nadu,erode,2019,Kharif,rice,27062,125295,4.629923879,120.3548045,85.95021293,87.79221835,161.6666667,345,,,32335367,16791899,14351936,6983.995385,3626.819671,3099.821158
15852,tamil nadu,kancheepuram,2009,Kharif,rice,91020,331434,3.641331575,105.7567639,66.06195508,54.72592358,2107.895611,345,1000,,32335367,16791899,14351936,8880.094089,4611.472109,3941.397728
15855,tamil nadu,kancheepuram,2010,Kharif,rice,95739,378628,3.954793762,109.838011,68.21082987,67.99504508,3036.413683,345,1000,,32335367,16791899,14351936,8176.246081,4245.960728,3628.997329
15859,tamil nadu,kancheepuram,2011,Kharif,rice,90419,395412,4.373107422,129.4139363,103.9053657,115.1152392,2309.068779,345,1095,,32335367,16791899,14351936,7394.139654,3839.809403,3281.862213
15862,tamil nadu,kancheepuram,2012,Kharif,rice,77784,344875,4.433752443,153.7429041,81.99489718,52.72757869,0,345,1265,51157.05,32335367,16791899,14351936,7293.002354,3787.288356,3236.972787
15867,tamil nadu,kancheepuram,2013,Kharif,rice,85564,391837,4.579460988,121.5694831,31.9345501,44.67835248,2375.158044,345,1327.5,,32335367,16791899,14351936,7060.95479,3666.785031,3133.979313
15871,tamil nadu,kancheepuram,2014,Kharif,rice,61881,289904,4.684862882,117.4909302,38.40897138,77.94161239,4089.926692,345,1380,,32335367,16791899,14351936,6902.094643,3584.288254,3063.469809
15875,tamil nadu,kancheepuram,2015,Kharif,rice,97738,415302,4.249135444,111.6931945,41.55946726,67.81916918,4903.194599,345,1430,55450.91,32335367,16791899,14351936,7609.869685,3951.838962,3377.613209
15879,tamil nadu,kancheepuram,2016,Kharif,rice,72617,288044,3.966619387,128.8461266,31.61775999,68.51588272,5113.862333,345,1490,75492.62,32335367,16791899,14351936,8151.870358,4233.302307,3618.178252
15883,tamil nadu,kancheepuram,2017,Kharif,rice,68387,287864,4.209338032,134.8572529,66.25148628,54.14242866,14.15194828,345,1570,60054.43,32335367,16791899,14351936,7681.817605,3989.201835,3409.547033
15888,tamil nadu,kancheepuram,2018,Kharif,rice,54679,260813,4.769893378,139.7840378,131.0389891,0.146103896,35.87547205,345,,,32335367,16791899,14351936,6779.054465,3520.392946,3008.85887
15893,tamil nadu,kancheepuram,2019,Kharif,rice,40691,202111,4.966970583,190.1394753,152.9714652,6.823091155,38.12690635,345,,,32335367,16791899,14351936,6510.078217,3380.712392,2889.474733
15894,tamil nadu,kanniyakumari,2009,Kharif,rice,17307,76237,4.404980644,116.6005033,60.93444283,66.11270605,2986.569126,345,1000,,32335367,16791899,14351936,7340.637704,3812.025604,3258.115565
15895,tamil nadu,kanniyakumari,2010,Kharif,rice,16989,80387,4.731708753,104.8164566,54.95157653,63.93791598,2433.874693,345,1000,,32335367,16791899,14351936,6833.761055,3548.80232,3033.140193
15896,tamil nadu,kanniyakumari,2011,Kharif,rice,16617,90110,5.422759824,118.5858977,64.48856961,63.29030784,3026.516115,345,1095,,32335367,16791899,14351936,5962.898607,3096.559601,2646.611037
