,Target,Source,quantity,year
2748,Himachal Pradesh,West Bengal(excluding ports) ,26370,2011
2749,Jammu and Kasmir,West Bengal(excluding ports) ,,2011
2750,Jharkhand,West Bengal(excluding ports) ,,2011
2751,Karnataka(excluding ports,West Bengal(excluding ports) ,26460,2011
2752,Other ports of Karnataka,West Bengal(excluding ports) ,,2011
2753,Kerala(excluding ports),West Bengal(excluding ports) ,,2011
2754,Other ports of Kerala,West Bengal(excluding ports) ,,2011
2755,Madhya Pradesh,West Bengal(excluding ports) ,,2011
2756,Maharashtra(excluding ports),West Bengal(excluding ports) ,26460,2011
2757,Other ports of Maharashtra,West Bengal(excluding ports) ,,2011
2758,Manipur,West Bengal(excluding ports) ,,2011
2759,Meghalaya,West Bengal(excluding ports) ,,2011
2760,Mizoram,West Bengal(excluding ports) ,,2011
2761,Nagaland,West Bengal(excluding ports) ,,2011
2762,Orissa,West Bengal(excluding ports) ,,2011
2763,Pondicheri and Karikal,West Bengal(excluding ports) ,,2011
2764,Punjab,West Bengal(excluding ports) ,,2011
2765,Rajasthan,West Bengal(excluding ports) ,,2011
2766,Tamil Nadu(excluding ports),West Bengal(excluding ports) ,,2011
2767,Other ports of Tamil Nadu,West Bengal(excluding ports) ,,2011
2768,Tripura,West Bengal(excluding ports) ,22220,2011
2769,Uttaranchal,West Bengal(excluding ports) ,,2011
2770,Uttar Pradesh,West Bengal(excluding ports) ,,2011
2771,West Bengal(excluding ports) ,West Bengal(excluding ports) ,,2011
2772,Other ports of West Bengal,West Bengal(excluding ports) ,787430,2011
2773,T  O  T  A  L,West Bengal(excluding ports) ,993310,2011
2774,Andhra(excluding ports),Other ports of West Bengal,,2011
2775,Other ports of Andhra,Other ports of West Bengal,,2011
2776,Assam,Other ports of West Bengal,,2011
2777,Arunachal Pradesh,Other ports of West Bengal,,2011
2778,Bihar,Other ports of West Bengal,,2011
2779,Chattishgarh,Other ports of West Bengal,,2011
2780,Chandigarh,Other ports of West Bengal,,2011
2781,Delhi,Other ports of West Bengal,,2011
2782,Goa,Other ports of West Bengal,,2011
2783,Gujarat(excluding ports),Other ports of West Bengal,,2011
2784,Other ports of Gujarat,Other ports of West Bengal,,2011
2785,Haryana,Other ports of West Bengal,,2011
2786,Himachal Pradesh,Other ports of West Bengal,,2011
2787,Jammu and Kasmir,Other ports of West Bengal,,2011
2788,Jharkhand,Other ports of West Bengal,,2011
2789,Karnataka(excluding ports,Other ports of West Bengal,,2011
2790,Other ports of Karnataka,Other ports of West Bengal,,2011
2791,Kerala(excluding ports),Other ports of West Bengal,,2011
2792,Other ports of Kerala,Other ports of West Bengal,,2011
2793,Madhya Pradesh,Other ports of West Bengal,,2011
2794,Maharashtra(excluding ports),Other ports of West Bengal,,2011
2795,Other ports of Maharashtra,Other ports of West Bengal,,2011
2796,Manipur,Other ports of West Bengal,,2011
2797,Meghalaya,Other ports of West Bengal,,2011
2798,Mizoram,Other ports of West Bengal,,2011
2799,Nagaland,Other ports of West Bengal,,2011
2800,Orissa,Other ports of West Bengal,,2011
2801,Pondicheri and Karikal,Other ports of West Bengal,,2011
2802,Punjab,Other ports of West Bengal,,2011
2803,Rajasthan,Other ports of West Bengal,,2011
2804,Tamil Nadu(excluding ports),Other ports of West Bengal,,2011
2805,Other ports of Tamil Nadu,Other ports of West Bengal,,2011
2806,Tripura,Other ports of West Bengal,,2011
2807,Uttaranchal,Other ports of West Bengal,,2011
2808,Uttar Pradesh,Other ports of West Bengal,,2011
2809,West Bengal(excluding ports) ,Other ports of West Bengal,26580,2011
2810,Other ports of West Bengal,Other ports of West Bengal,,2011
2811,T  O  T  A  L,Other ports of West Bengal,26580,2011
2812,Andhra(excluding ports),Andhra(excluding ports) ,,2012
2813,Other ports of Andhra,Andhra(excluding ports) ,1636130,2012
2814,Assam,Andhra(excluding ports) ,,2012
2815,Arunachal Pradesh,Andhra(excluding ports) ,,2012
2816,Bihar,Andhra(excluding ports) ,,2012
2817,Chattishgarh,Andhra(excluding ports) ,,2012
2818,Chandigarh,Andhra(excluding ports) ,,2012
2819,Delhi,Andhra(excluding ports) ,,2012
2820,Goa,Andhra(excluding ports) ,,2012
2821,Gujarat(excluding ports),Andhra(excluding ports) ,,2012
2822,Other ports of Gujarat,Andhra(excluding ports) ,,2012
2823,Haryana,Andhra(excluding ports) ,,2012
2824,Himachal Pradesh,Andhra(excluding ports) ,,2012
2825,Jammu and Kasmir,Andhra(excluding ports) ,,2012
2826,Jharkhand,Andhra(excluding ports) ,,2012
2827,Karnataka(excluding ports,Andhra(excluding ports) ,,2012
2828,Other ports of Karnataka,Andhra(excluding ports) ,,2012
2829,Kerala(excluding ports),Andhra(excluding ports) ,52350,2012
2830,Other ports of Kerala,Andhra(excluding ports) ,,2012
2831,Madhya Pradesh,Andhra(excluding ports) ,,2012
2832,Maharashtra(excluding ports),Andhra(excluding ports) ,,2012
2833,Other ports of Maharashtra,Andhra(excluding ports) ,,2012
2834,Manipur,Andhra(excluding ports) ,,2012
2835,Meghalaya,Andhra(excluding ports) ,,2012
2836,Mizoram,Andhra(excluding ports) ,,2012
2837,Nagaland,Andhra(excluding ports) ,,2012
2838,Orissa,Andhra(excluding ports) ,,2012
2839,Pondicheri and Karikal,Andhra(excluding ports) ,,2012
2840,Punjab,Andhra(excluding ports) ,,2012
2841,Rajasthan,Andhra(excluding ports) ,,2012
2842,Tamil Nadu(excluding ports),Andhra(excluding ports) ,52550,2012
2843,Other ports of Tamil Nadu,Andhra(excluding ports) ,79180,2012
2844,Tripura,Andhra(excluding ports) ,,2012
2845,Uttaranchal,Andhra(excluding ports) ,,2012
2846,Uttar Pradesh,Andhra(excluding ports) ,,2012
2847,West Bengal(excluding ports) ,Andhra(excluding ports) ,77620,2012
2848,Other ports of West Bengal,Andhra(excluding ports) ,,2012
2849,T  O  T  A  L,Andhra(excluding ports) ,1897830,2012
2850,Andhra(excluding ports),Other ports of Andhra,,2012
2851,Other ports of Andhra,Other ports of Andhra,,2012
2852,Assam,Other ports of Andhra,,2012
2853,Arunachal Pradesh,Other ports of Andhra,,2012
2854,Bihar,Other ports of Andhra,,2012
2855,Chattishgarh,Other ports of Andhra,,2012
2856,Chandigarh,Other ports of Andhra,,2012
2857,Delhi,Other ports of Andhra,,2012
2858,Goa,Other ports of Andhra,,2012
2859,Gujarat(excluding ports),Other ports of Andhra,,2012
2860,Other ports of Gujarat,Other ports of Andhra,,2012
2861,Haryana,Other ports of Andhra,,2012
2862,Himachal Pradesh,Other ports of Andhra,,2012
2863,Jammu and Kasmir,Other ports of Andhra,,2012
2864,Jharkhand,Other ports of Andhra,,2012
2865,Karnataka(excluding ports,Other ports of Andhra,,2012
2866,Other ports of Karnataka,Other ports of Andhra,,2012
2867,Kerala(excluding ports),Other ports of Andhra,,2012
2868,Other ports of Kerala,Other ports of Andhra,,2012
2869,Madhya Pradesh,Other ports of Andhra,,2012
2870,Maharashtra(excluding ports),Other ports of Andhra,,2012
2871,Other ports of Maharashtra,Other ports of Andhra,,2012
2872,Manipur,Other ports of Andhra,,2012
2873,Meghalaya,Other ports of Andhra,,2012
2874,Mizoram,Other ports of Andhra,,2012
2875,Nagaland,Other ports of Andhra,,2012
2876,Orissa,Other ports of Andhra,,2012
2877,Pondicheri and Karikal,Other ports of Andhra,,2012
2878,Punjab,Other ports of Andhra,,2012
2879,Rajasthan,Other ports of Andhra,,2012
2880,Tamil Nadu(excluding ports),Other ports of Andhra,,2012
2881,Other ports of Tamil Nadu,Other ports of Andhra,,2012
2882,Tripura,Other ports of Andhra,,2012
2883,Uttaranchal,Other ports of Andhra,,2012
2884,Uttar Pradesh,Other ports of Andhra,,2012
2885,West Bengal(excluding ports) ,Other ports of Andhra,,2012
2886,Other ports of West Bengal,Other ports of Andhra,,2012
2887,T  O  T  A  L,Other ports of Andhra,0,2012
2888,Andhra(excluding ports),Assam,,2012
2889,Other ports of Andhra,Assam,,2012
2890,Assam,Assam,,2012
2891,Arunachal Pradesh,Assam,,2012
2892,Bihar,Assam,,2012
2893,Chattishgarh,Assam,,2012
2894,Chandigarh,Assam,,2012
2895,Delhi,Assam,,2012
2896,Goa,Assam,,2012
2897,Gujarat(excluding ports),Assam,,2012
2898,Other ports of Gujarat,Assam,,2012
2899,Haryana,Assam,,2012
2900,Himachal Pradesh,Assam,,2012
2901,Jammu and Kasmir,Assam,,2012
2902,Jharkhand,Assam,,2012
2903,Karnataka(excluding ports,Assam,,2012
2904,Other ports of Karnataka,Assam,,2012
2905,Kerala(excluding ports),Assam,,2012
2906,Other ports of Kerala,Assam,,2012
2907,Madhya Pradesh,Assam,,2012
2908,Maharashtra(excluding ports),Assam,,2012
2909,Other ports of Maharashtra,Assam,,2012
2910,Manipur,Assam,,2012
2911,Meghalaya,Assam,,2012
2912,Mizoram,Assam,,2012
2913,Nagaland,Assam,,2012
2914,Orissa,Assam,,2012
2915,Pondicheri and Karikal,Assam,,2012
2916,Punjab,Assam,,2012
2917,Rajasthan,Assam,,2012
2918,Tamil Nadu(excluding ports),Assam,,2012
2919,Other ports of Tamil Nadu,Assam,,2012
2920,Tripura,Assam,,2012
2921,Uttaranchal,Assam,,2012
2922,Uttar Pradesh,Assam,,2012
2923,West Bengal(excluding ports) ,Assam,,2012
2924,Other ports of West Bengal,Assam,,2012
2925,T  O  T  A  L,Assam,0,2012
2926,Andhra(excluding ports),Arunachal Pradesh,,2012
2927,Other ports of Andhra,Arunachal Pradesh,,2012
2928,Assam,Arunachal Pradesh,,2012
2929,Arunachal Pradesh,Arunachal Pradesh,,2012
2930,Bihar,Arunachal Pradesh,,2012
2931,Chattishgarh,Arunachal Pradesh,,2012
2932,Chandigarh,Arunachal Pradesh,,2012
2933,Delhi,Arunachal Pradesh,,2012
2934,Goa,Arunachal Pradesh,,2012
2935,Gujarat(excluding ports),Arunachal Pradesh,,2012
2936,Other ports of Gujarat,Arunachal Pradesh,,2012
2937,Haryana,Arunachal Pradesh,,2012
2938,Himachal Pradesh,Arunachal Pradesh,,2012
2939,Jammu and Kasmir,Arunachal Pradesh,,2012
2940,Jharkhand,Arunachal Pradesh,,2012
2941,Karnataka(excluding ports,Arunachal Pradesh,,2012
2942,Other ports of Karnataka,Arunachal Pradesh,,2012
2943,Kerala(excluding ports),Arunachal Pradesh,,2012
2944,Other ports of Kerala,Arunachal Pradesh,,2012
2945,Madhya Pradesh,Arunachal Pradesh,,2012
2946,Maharashtra(excluding ports),Arunachal Pradesh,,2012
2947,Other ports of Maharashtra,Arunachal Pradesh,,2012
2948,Manipur,Arunachal Pradesh,,2012
2949,Meghalaya,Arunachal Pradesh,,2012
2950,Mizoram,Arunachal Pradesh,,2012
2951,Nagaland,Arunachal Pradesh,,2012
2952,Orissa,Arunachal Pradesh,,2012
2953,Pondicheri and Karikal,Arunachal Pradesh,,2012
2954,Punjab,Arunachal Pradesh,,2012
2955,Rajasthan,Arunachal Pradesh,,2012
2956,Tamil Nadu(excluding ports),Arunachal Pradesh,,2012
2957,Other ports of Tamil Nadu,Arunachal Pradesh,,2012
2958,Tripura,Arunachal Pradesh,,2012
2959,Uttaranchal,Arunachal Pradesh,,2012
2960,Uttar Pradesh,Arunachal Pradesh,,2012
2961,West Bengal(excluding ports) ,Arunachal Pradesh,,2012
2962,Other ports of West Bengal,Arunachal Pradesh,,2012
2963,T  O  T  A  L,Arunachal Pradesh,0,2012
2964,Andhra(excluding ports),Bihar,26430,2012
2965,Other ports of Andhra,Bihar,185060,2012
2966,Assam,Bihar,24810,2012
2967,Arunachal Pradesh,Bihar,,2012
2968,Bihar,Bihar,,2012
2969,Chattishgarh,Bihar,,2012
2970,Chandigarh,Bihar,,2012
2971,Delhi,Bihar,,2012
2972,Goa,Bihar,,2012
2973,Gujarat(excluding ports),Bihar,26520,2012
2974,Other ports of Gujarat,Bihar,,2012
2975,Haryana,Bihar,52400,2012
2976,Himachal Pradesh,Bihar,88730,2012
2977,Jammu and Kasmir,Bihar,,2012
2978,Jharkhand,Bihar,,2012
2979,Karnataka(excluding ports,Bihar,,2012
2980,Other ports of Karnataka,Bihar,,2012
2981,Kerala(excluding ports),Bihar,25940,2012
2982,Other ports of Kerala,Bihar,,2012
2983,Madhya Pradesh,Bihar,,2012
2984,Maharashtra(excluding ports),Bihar,,2012
2985,Other ports of Maharashtra,Bihar,,2012
2986,Manipur,Bihar,,2012
2987,Meghalaya,Bihar,,2012
2988,Mizoram,Bihar,,2012
2989,Nagaland,Bihar,,2012
2990,Orissa,Bihar,,2012
2991,Pondicheri and Karikal,Bihar,,2012
2992,Punjab,Bihar,106170,2012
2993,Rajasthan,Bihar,,2012
2994,Tamil Nadu(excluding ports),Bihar,103610,2012
2995,Other ports of Tamil Nadu,Bihar,,2012
2996,Tripura,Bihar,,2012
2997,Uttaranchal,Bihar,,2012
2998,Uttar Pradesh,Bihar,,2012
2999,West Bengal(excluding ports) ,Bihar,118850,2012
3000,Other ports of West Bengal,Bihar,,2012
3001,T  O  T  A  L,Bihar,758520,2012
3002,Andhra(excluding ports),Chattishgarh,65500,2012
3003,Other ports of Andhra,Chattishgarh,237300,2012
3004,Assam,Chattishgarh,,2012
3005,Arunachal Pradesh,Chattishgarh,,2012
3006,Bihar,Chattishgarh,,2012
3007,Chattishgarh,Chattishgarh,,2012
3008,Chandigarh,Chattishgarh,,2012
3009,Delhi,Chattishgarh,,2012
3010,Goa,Chattishgarh,,2012
3011,Gujarat(excluding ports),Chattishgarh,26430,2012
3012,Other ports of Gujarat,Chattishgarh,,2012
3013,Haryana,Chattishgarh,25390,2012
3014,Himachal Pradesh,Chattishgarh,,2012
3015,Jammu and Kasmir,Chattishgarh,,2012
3016,Jharkhand,Chattishgarh,,2012
3017,Karnataka(excluding ports,Chattishgarh,,2012
3018,Other ports of Karnataka,Chattishgarh,,2012
3019,Kerala(excluding ports),Chattishgarh,,2012
3020,Other ports of Kerala,Chattishgarh,,2012
3021,Madhya Pradesh,Chattishgarh,,2012
3022,Maharashtra(excluding ports),Chattishgarh,,2012
3023,Other ports of Maharashtra,Chattishgarh,,2012
3024,Manipur,Chattishgarh,,2012
3025,Meghalaya,Chattishgarh,,2012
3026,Mizoram,Chattishgarh,,2012
3027,Nagaland,Chattishgarh,,2012
3028,Orissa,Chattishgarh,,2012
3029,Pondicheri and Karikal,Chattishgarh,,2012
3030,Punjab,Chattishgarh,,2012
3031,Rajasthan,Chattishgarh,,2012
3032,Tamil Nadu(excluding ports),Chattishgarh,,2012
3033,Other ports of Tamil Nadu,Chattishgarh,,2012
3034,Tripura,Chattishgarh,,2012
3035,Uttaranchal,Chattishgarh,235710,2012
3036,Uttar Pradesh,Chattishgarh,,2012
3037,West Bengal(excluding ports) ,Chattishgarh,296870,2012
3038,Other ports of West Bengal,Chattishgarh,,2012
3039,T  O  T  A  L,Chattishgarh,887200,2012
3040,Andhra(excluding ports),Chandigarh,,2012
3041,Other ports of Andhra,Chandigarh,,2012
3042,Assam,Chandigarh,,2012
3043,Arunachal Pradesh,Chandigarh,,2012
3044,Bihar,Chandigarh,,2012
3045,Chattishgarh,Chandigarh,,2012
3046,Chandigarh,Chandigarh,,2012
3047,Delhi,Chandigarh,,2012
3048,Goa,Chandigarh,,2012
3049,Gujarat(excluding ports),Chandigarh,,2012
3050,Other ports of Gujarat,Chandigarh,,2012
3051,Haryana,Chandigarh,,2012
3052,Himachal Pradesh,Chandigarh,,2012
3053,Jammu and Kasmir,Chandigarh,,2012
3054,Jharkhand,Chandigarh,,2012
3055,Karnataka(excluding ports,Chandigarh,,2012
3056,Other ports of Karnataka,Chandigarh,,2012
3057,Kerala(excluding ports),Chandigarh,,2012
3058,Other ports of Kerala,Chandigarh,,2012
3059,Madhya Pradesh,Chandigarh,,2012
3060,Maharashtra(excluding ports),Chandigarh,,2012
3061,Other ports of Maharashtra,Chandigarh,,2012
3062,Manipur,Chandigarh,,2012
3063,Meghalaya,Chandigarh,,2012
3064,Mizoram,Chandigarh,,2012
3065,Nagaland,Chandigarh,,2012
3066,Orissa,Chandigarh,,2012
3067,Pondicheri and Karikal,Chandigarh,,2012
3068,Punjab,Chandigarh,,2012
3069,Rajasthan,Chandigarh,,2012
3070,Tamil Nadu(excluding ports),Chandigarh,,2012
3071,Other ports of Tamil Nadu,Chandigarh,,2012
3072,Tripura,Chandigarh,,2012
3073,Uttaranchal,Chandigarh,,2012
3074,Uttar Pradesh,Chandigarh,,2012
3075,West Bengal(excluding ports) ,Chandigarh,,2012
3076,Other ports of West Bengal,Chandigarh,,2012
3077,T  O  T  A  L,Chandigarh,0,2012
3078,Andhra(excluding ports),Delhi,,2012
3079,Other ports of Andhra,Delhi,,2012
3080,Assam,Delhi,,2012
3081,Arunachal Pradesh,Delhi,,2012
3082,Bihar,Delhi,,2012
3083,Chattishgarh,Delhi,,2012
3084,Chandigarh,Delhi,660,2012
3085,Delhi,Delhi,,2012
3086,Goa,Delhi,,2012
3087,Gujarat(excluding ports),Delhi,,2012
3088,Other ports of Gujarat,Delhi,,2012
3089,Haryana,Delhi,,2012
3090,Himachal Pradesh,Delhi,,2012
3091,Jammu and Kasmir,Delhi,,2012
3092,Jharkhand,Delhi,,2012
3093,Karnataka(excluding ports,Delhi,,2012
3094,Other ports of Karnataka,Delhi,,2012
3095,Kerala(excluding ports),Delhi,,2012
3096,Other ports of Kerala,Delhi,,2012
3097,Madhya Pradesh,Delhi,,2012
3098,Maharashtra(excluding ports),Delhi,,2012
3099,Other ports of Maharashtra,Delhi,,2012
3100,Manipur,Delhi,,2012
3101,Meghalaya,Delhi,,2012
3102,Mizoram,Delhi,,2012
3103,Nagaland,Delhi,,2012
3104,Orissa,Delhi,,2012
3105,Pondicheri and Karikal,Delhi,,2012
3106,Punjab,Delhi,,2012
3107,Rajasthan,Delhi,,2012
3108,Tamil Nadu(excluding ports),Delhi,,2012
3109,Other ports of Tamil Nadu,Delhi,,2012
3110,Tripura,Delhi,,2012
3111,Uttaranchal,Delhi,,2012
3112,Uttar Pradesh,Delhi,,2012
3113,West Bengal(excluding ports) ,Delhi,,2012
3114,Other ports of West Bengal,Delhi,,2012
3115,T  O  T  A  L,Delhi,660,2012
3116,Andhra(excluding ports),Goa,,2012
3117,Other ports of Andhra,Goa,,2012
3118,Assam,Goa,,2012
3119,Arunachal Pradesh,Goa,,2012
3120,Bihar,Goa,,2012
3121,Chattishgarh,Goa,,2012
3122,Chandigarh,Goa,,2012
3123,Delhi,Goa,,2012
3124,Goa,Goa,,2012
3125,Gujarat(excluding ports),Goa,,2012
3126,Other ports of Gujarat,Goa,,2012
3127,Haryana,Goa,,2012
3128,Himachal Pradesh,Goa,,2012
3129,Jammu and Kasmir,Goa,,2012
3130,Jharkhand,Goa,,2012
3131,Karnataka(excluding ports,Goa,,2012
3132,Other ports of Karnataka,Goa,,2012
3133,Kerala(excluding ports),Goa,,2012
3134,Other ports of Kerala,Goa,,2012
3135,Madhya Pradesh,Goa,,2012
3136,Maharashtra(excluding ports),Goa,,2012
3137,Other ports of Maharashtra,Goa,,2012
3138,Manipur,Goa,,2012
3139,Meghalaya,Goa,,2012
3140,Mizoram,Goa,,2012
3141,Nagaland,Goa,,2012
3142,Orissa,Goa,,2012
3143,Pondicheri and Karikal,Goa,,2012
3144,Punjab,Goa,,2012
3145,Rajasthan,Goa,,2012
3146,Tamil Nadu(excluding ports),Goa,,2012
3147,Other ports of Tamil Nadu,Goa,,2012
3148,Tripura,Goa,,2012
3149,Uttaranchal,Goa,,2012
3150,Uttar Pradesh,Goa,,2012
3151,West Bengal(excluding ports) ,Goa,,2012
3152,Other ports of West Bengal,Goa,,2012
3153,T  O  T  A  L,Goa,0,2012
3154,Andhra(excluding ports),Gujarat(excluding ports),,2012
3155,Other ports of Andhra,Gujarat(excluding ports),,2012
3156,Assam,Gujarat(excluding ports),,2012
3157,Arunachal Pradesh,Gujarat(excluding ports),,2012
3158,Bihar,Gujarat(excluding ports),,2012
3159,Chattishgarh,Gujarat(excluding ports),,2012
3160,Chandigarh,Gujarat(excluding ports),,2012
3161,Delhi,Gujarat(excluding ports),,2012
3162,Goa,Gujarat(excluding ports),,2012
3163,Gujarat(excluding ports),Gujarat(excluding ports),,2012
3164,Other ports of Gujarat,Gujarat(excluding ports),,2012
3165,Haryana,Gujarat(excluding ports),,2012
3166,Himachal Pradesh,Gujarat(excluding ports),,2012
3167,Jammu and Kasmir,Gujarat(excluding ports),,2012
3168,Jharkhand,Gujarat(excluding ports),,2012
3169,Karnataka(excluding ports,Gujarat(excluding ports),,2012
3170,Other ports of Karnataka,Gujarat(excluding ports),,2012
3171,Kerala(excluding ports),Gujarat(excluding ports),,2012
3172,Other ports of Kerala,Gujarat(excluding ports),,2012
3173,Madhya Pradesh,Gujarat(excluding ports),,2012
3174,Maharashtra(excluding ports),Gujarat(excluding ports),,2012
3175,Other ports of Maharashtra,Gujarat(excluding ports),,2012
3176,Manipur,Gujarat(excluding ports),,2012
3177,Meghalaya,Gujarat(excluding ports),,2012
3178,Mizoram,Gujarat(excluding ports),,2012
3179,Nagaland,Gujarat(excluding ports),,2012
3180,Orissa,Gujarat(excluding ports),,2012
3181,Pondicheri and Karikal,Gujarat(excluding ports),,2012
3182,Punjab,Gujarat(excluding ports),,2012
3183,Rajasthan,Gujarat(excluding ports),,2012
3184,Tamil Nadu(excluding ports),Gujarat(excluding ports),,2012
3185,Other ports of Tamil Nadu,Gujarat(excluding ports),,2012
3186,Tripura,Gujarat(excluding ports),,2012
3187,Uttaranchal,Gujarat(excluding ports),,2012
3188,Uttar Pradesh,Gujarat(excluding ports),,2012
3189,West Bengal(excluding ports) ,Gujarat(excluding ports),,2012
3190,Other ports of West Bengal,Gujarat(excluding ports),,2012
3191,T  O  T  A  L,Gujarat(excluding ports),0,2012
3192,Andhra(excluding ports),Other ports of Gujarat,,2012
3193,Other ports of Andhra,Other ports of Gujarat,,2012
3194,Assam,Other ports of Gujarat,,2012
3195,Arunachal Pradesh,Other ports of Gujarat,,2012
3196,Bihar,Other ports of Gujarat,,2012
3197,Chattishgarh,Other ports of Gujarat,,2012
3198,Chandigarh,Other ports of Gujarat,,2012
3199,Delhi,Other ports of Gujarat,,2012
3200,Goa,Other ports of Gujarat,,2012
3201,Gujarat(excluding ports),Other ports of Gujarat,,2012
3202,Other ports of Gujarat,Other ports of Gujarat,,2012
3203,Haryana,Other ports of Gujarat,,2012
3204,Himachal Pradesh,Other ports of Gujarat,,2012
3205,Jammu and Kasmir,Other ports of Gujarat,,2012
3206,Jharkhand,Other ports of Gujarat,,2012
3207,Karnataka(excluding ports,Other ports of Gujarat,,2012
3208,Other ports of Karnataka,Other ports of Gujarat,,2012
3209,Kerala(excluding ports),Other ports of Gujarat,,2012
3210,Other ports of Kerala,Other ports of Gujarat,,2012
3211,Madhya Pradesh,Other ports of Gujarat,,2012
3212,Maharashtra(excluding ports),Other ports of Gujarat,,2012
3213,Other ports of Maharashtra,Other ports of Gujarat,,2012
3214,Manipur,Other ports of Gujarat,,2012
3215,Meghalaya,Other ports of Gujarat,,2012
3216,Mizoram,Other ports of Gujarat,,2012
3217,Nagaland,Other ports of Gujarat,,2012
3218,Orissa,Other ports of Gujarat,,2012
3219,Pondicheri and Karikal,Other ports of Gujarat,,2012
3220,Punjab,Other ports of Gujarat,,2012
3221,Rajasthan,Other ports of Gujarat,,2012
3222,Tamil Nadu(excluding ports),Other ports of Gujarat,,2012
3223,Other ports of Tamil Nadu,Other ports of Gujarat,,2012
3224,Tripura,Other ports of Gujarat,,2012
3225,Uttaranchal,Other ports of Gujarat,,2012
3226,Uttar Pradesh,Other ports of Gujarat,,2012
3227,West Bengal(excluding ports) ,Other ports of Gujarat,,2012
3228,Other ports of West Bengal,Other ports of Gujarat,,2012
3229,T  O  T  A  L,Other ports of Gujarat,0,2012
3230,Andhra(excluding ports),Haryana,,2012
3231,Other ports of Andhra,Haryana,,2012
3232,Assam,Haryana,,2012
3233,Arunachal Pradesh,Haryana,,2012
3234,Bihar,Haryana,,2012
3235,Chattishgarh,Haryana,,2012
3236,Chandigarh,Haryana,,2012
3237,Delhi,Haryana,,2012
3238,Goa,Haryana,,2012
3239,Gujarat(excluding ports),Haryana,,2012
3240,Other ports of Gujarat,Haryana,,2012
3241,Haryana,Haryana,,2012
3242,Himachal Pradesh,Haryana,,2012
3243,Jammu and Kasmir,Haryana,,2012
3244,Jharkhand,Haryana,,2012
3245,Karnataka(excluding ports,Haryana,,2012
3246,Other ports of Karnataka,Haryana,,2012
3247,Kerala(excluding ports),Haryana,,2012
3248,Other ports of Kerala,Haryana,,2012
3249,Madhya Pradesh,Haryana,,2012
3250,Maharashtra(excluding ports),Haryana,,2012
3251,Other ports of Maharashtra,Haryana,,2012
3252,Manipur,Haryana,,2012
3253,Meghalaya,Haryana,,2012
3254,Mizoram,Haryana,,2012
3255,Nagaland,Haryana,,2012
3256,Orissa,Haryana,,2012
3257,Pondicheri and Karikal,Haryana,,2012
3258,Punjab,Haryana,,2012
3259,Rajasthan,Haryana,,2012
3260,Tamil Nadu(excluding ports),Haryana,,2012
3261,Other ports of Tamil Nadu,Haryana,,2012
3262,Tripura,Haryana,,2012
3263,Uttaranchal,Haryana,,2012
3264,Uttar Pradesh,Haryana,,2012
3265,West Bengal(excluding ports) ,Haryana,,2012
3266,Other ports of West Bengal,Haryana,,2012
3267,T  O  T  A  L,Haryana,0,2012
3268,Andhra(excluding ports),Himachal Pradesh,,2012
3269,Other ports of Andhra,Himachal Pradesh,,2012
3270,Assam,Himachal Pradesh,,2012
3271,Arunachal Pradesh,Himachal Pradesh,,2012
3272,Bihar,Himachal Pradesh,,2012
3273,Chattishgarh,Himachal Pradesh,,2012
3274,Chandigarh,Himachal Pradesh,,2012
3275,Delhi,Himachal Pradesh,,2012
3276,Goa,Himachal Pradesh,,2012
3277,Gujarat(excluding ports),Himachal Pradesh,,2012
3278,Other ports of Gujarat,Himachal Pradesh,,2012
3279,Haryana,Himachal Pradesh,,2012
3280,Himachal Pradesh,Himachal Pradesh,,2012
3281,Jammu and Kasmir,Himachal Pradesh,,2012
3282,Jharkhand,Himachal Pradesh,,2012
3283,Karnataka(excluding ports,Himachal Pradesh,,2012
3284,Other ports of Karnataka,Himachal Pradesh,,2012
3285,Kerala(excluding ports),Himachal Pradesh,,2012
3286,Other ports of Kerala,Himachal Pradesh,,2012
3287,Madhya Pradesh,Himachal Pradesh,,2012
3288,Maharashtra(excluding ports),Himachal Pradesh,,2012
3289,Other ports of Maharashtra,Himachal Pradesh,,2012
3290,Manipur,Himachal Pradesh,,2012
3291,Meghalaya,Himachal Pradesh,,2012
3292,Mizoram,Himachal Pradesh,,2012
3293,Nagaland,Himachal Pradesh,,2012
3294,Orissa,Himachal Pradesh,,2012
3295,Pondicheri and Karikal,Himachal Pradesh,,2012
3296,Punjab,Himachal Pradesh,,2012
3297,Rajasthan,Himachal Pradesh,,2012
3298,Tamil Nadu(excluding ports),Himachal Pradesh,,2012
3299,Other ports of Tamil Nadu,Himachal Pradesh,,2012
3300,Tripura,Himachal Pradesh,,2012
3301,Uttaranchal,Himachal Pradesh,,2012
3302,Uttar Pradesh,Himachal Pradesh,,2012
3303,West Bengal(excluding ports) ,Himachal Pradesh,,2012
3304,Other ports of West Bengal,Himachal Pradesh,,2012
3305,T  O  T  A  L,Himachal Pradesh,0,2012
3306,Andhra(excluding ports),Jammu,,2012
3307,Other ports of Andhra,Jammu,,2012
3308,Assam,Jammu,,2012
3309,Arunachal Pradesh,Jammu,,2012
3310,Bihar,Jammu,,2012
3311,Chattishgarh,Jammu,,2012
3312,Chandigarh,Jammu,,2012
3313,Delhi,Jammu,,2012
3314,Goa,Jammu,,2012
3315,Gujarat(excluding ports),Jammu,,2012
3316,Other ports of Gujarat,Jammu,,2012
