,Target,Source,quantity,year
114,Andhra(excluding ports),Arunachal Pradesh,,2010
115,Other ports of Andhra,Arunachal Pradesh,,2010
116,Assam,Arunachal Pradesh,,2010
117,Arunachal Pradesh,Arunachal Pradesh,,2010
118,Bihar,Arunachal Pradesh,,2010
119,Chattishgarh,Arunachal Pradesh,,2010
120,Chandigarh,Arunachal Pradesh,,2010
121,Delhi,Arunachal Pradesh,,2010
122,Goa,Arunachal Pradesh,,2010
123,Gujarat(excluding ports),Arunachal Pradesh,,2010
124,Other ports of Gujarat,Arunachal Pradesh,,2010
125,Haryana,Arunachal Pradesh,,2010
126,Himachal Pradesh,Arunachal Pradesh,,2010
127,Jammu and Kasmir,Arunachal Pradesh,,2010
128,Jharkhand,Arunachal Pradesh,,2010
129,Karnataka(excluding ports,Arunachal Pradesh,,2010
130,Other ports of Karnataka,Arunachal Pradesh,,2010
131,Kerala(excluding ports),Arunachal Pradesh,,2010
132,Other ports of Kerala,Arunachal Pradesh,,2010
133,Madhya Pradesh,Arunachal Pradesh,,2010
134,Maharashtra(excluding ports),Arunachal Pradesh,,2010
135,Other ports of Maharashtra,Arunachal Pradesh,,2010
136,Manipur,Arunachal Pradesh,,2010
137,Meghalaya,Arunachal Pradesh,,2010
138,Mizoram,Arunachal Pradesh,,2010
139,Nagaland,Arunachal Pradesh,,2010
140,Orissa,Arunachal Pradesh,,2010
141,Pondicheri and Karikal,Arunachal Pradesh,,2010
142,Punjab,Arunachal Pradesh,,2010
143,Rajasthan,Arunachal Pradesh,,2010
144,Tamil Nadu(excluding ports),Arunachal Pradesh,,2010
145,Other ports of Tamil Nadu,Arunachal Pradesh,,2010
146,Tripura,Arunachal Pradesh,,2010
147,Uttaranchal,Arunachal Pradesh,,2010
148,Uttar Pradesh,Arunachal Pradesh,,2010
149,West Bengal(excluding ports) ,Arunachal Pradesh,,2010
150,Other ports of West Bengal,Arunachal Pradesh,,2010
151,T  O  T  A  L,Arunachal Pradesh,0,2010
152,Andhra(excluding ports),Bihar,,2010
153,Other ports of Andhra,Bihar,78220,2010
154,Assam,Bihar,,2010
155,Arunachal Pradesh,Bihar,,2010
