,target,source,avg_trade_qtl
61,Odisha,Andaman & Nicobar Islands,0.0
62,Punjab,Andaman & Nicobar Islands,0.0
63,Puducherry,Andaman & Nicobar Islands,0.0
64,Rajasthan,Andaman & Nicobar Islands,0.0
65,Sikkim,Andaman & Nicobar Islands,0.0
66,Telangana,Andaman & Nicobar Islands,0.0
67,Tamil Nadu,Andaman & Nicobar Islands,0.0
68,Tripura,Andaman & Nicobar Islands,0.0
69,Uttarakhand,Andaman & Nicobar Islands,0.0
70,Uttar Pradesh,Andaman & Nicobar Islands,0.0
71,West Bengal,Andaman & Nicobar Islands,0.0
72,Andhra Pradesh,Arunachal Pradesh,0.0
73,Andaman & Nicobar Islands,Arunachal Pradesh,0.0
74,Arunachal Pradesh,Arunachal Pradesh,0.0
75,Assam,Arunachal Pradesh,0.0
76,Bihar,Arunachal Pradesh,0.0
77,Chattisgarh,Arunachal Pradesh,0.0
78,Chandigarh,Arunachal Pradesh,0.0
79,Daman & Diu,Arunachal Pradesh,0.0
80,Delhi,Arunachal Pradesh,0.0
81,Dadra & Nagar Haveli,Arunachal Pradesh,0.0
82,Goa,Arunachal Pradesh,0.0
83,Gujarat,Arunachal Pradesh,0.0
84,Himachal Pradesh,Arunachal Pradesh,0.0
85,Haryana,Arunachal Pradesh,260.8333333333333
86,Jharkhand,Arunachal Pradesh,0.0
87,Jammu & Kashmir,Arunachal Pradesh,0.0
88,Kerala,Arunachal Pradesh,0.0
89,Karnataka,Arunachal Pradesh,0.0
90,Lakshadeep,Arunachal Pradesh,0.0
91,Maharashtra,Arunachal Pradesh,0.0
92,Meghalaya,Arunachal Pradesh,0.0
93,Manipur,Arunachal Pradesh,0.0
94,Madhya Pradesh,Arunachal Pradesh,0.0
95,Mizoram,Arunachal Pradesh,0.0
96,Nagaland,Arunachal Pradesh,0.0
97,Odisha,Arunachal Pradesh,0.0
98,Punjab,Arunachal Pradesh,805.75
99,Puducherry,Arunachal Pradesh,0.0
100,Rajasthan,Arunachal Pradesh,0.0
101,Sikkim,Arunachal Pradesh,0.0
102,Telangana,Arunachal Pradesh,0.0
103,Tamil Nadu,Arunachal Pradesh,0.0
104,Tripura,Arunachal Pradesh,0.0
105,Uttarakhand,Arunachal Pradesh,0.0
106,Uttar Pradesh,Arunachal Pradesh,0.0
107,West Bengal,Arunachal Pradesh,0.0
108,Andhra Pradesh,Assam,2194.741666666667
109,Andaman & Nicobar Islands,Assam,0.0
110,Arunachal Pradesh,Assam,0.0
111,Assam,Assam,0.0
112,Bihar,Assam,1297.4833333333333
113,Chattisgarh,Assam,653.625
114,Chandigarh,Assam,220.25
115,Daman & Diu,Assam,0.0
116,Delhi,Assam,2297.233333333333
117,Dadra & Nagar Haveli,Assam,0.0
118,Goa,Assam,0.0
119,Gujarat,Assam,0.0
120,Himachal Pradesh,Assam,0.0
121,Haryana,Assam,36075.166666666664
122,Jharkhand,Assam,0.0
123,Jammu & Kashmir,Assam,0.0
124,Kerala,Assam,0.0
125,Karnataka,Assam,208.54166666666666
126,Lakshadeep,Assam,0.0
127,Maharashtra,Assam,1082.3999999999999
128,Meghalaya,Assam,0.0
129,Manipur,Assam,253659.08333333334
130,Madhya Pradesh,Assam,0.0
131,Mizoram,Assam,25825.833333333332
132,Nagaland,Assam,44417.5
