Alpha,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,solve_status,solve_status_code,is_valid,variable_count,constraint_count,income_mode
0.0,2947786999.4445376,101273635456.3627,2.9477869994445376,101.2736354563627,Optimal,1,True,1788,2529,msp
0.25,2935545826.856609,101349790286.33766,2.935545826856609,101.34979028633767,Optimal,1,True,1788,2529,msp
0.5,2925116557.623387,101615867006.91583,2.925116557623387,101.61586700691583,Optimal,1,True,1788,2529,msp
0.75,2917241480.4958777,102084049969.04585,2.917241480495878,102.08404996904585,Optimal,1,True,1788,2529,msp
1.0,2908833177.5580425,103817842400.57797,2.9088331775580425,103.81784240057797,Optimal,1,True,1788,2529,msp
