State,Crop,original_area_ha,optimized_area_ha,state_abbrev,crop_order
tamil nadu,ragi,86513.0,27846.05203251711,TN,3
tamil nadu,rice,1828865.0,141140.0,TN,4
telangana,bajra,8762.0,27135.308931852316,,0
telangana,jowar,67312.0,671002.0,,1
telangana,maize,630457.0,1749490.0,,2
telangana,ragi,1455.0,226890.6910681477,,3
telangana,rice,1962376.0,0.0,,4
telangana,wheat,4156.0,0.0,,5
tripura,jowar,857.0,14529.201937852922,,1
tripura,maize,15736.0,0.0,,2
tripura,rice,274068.0,276326.7980621471,,4
tripura,wheat,195.0,0.0,,5
uttar pradesh,bajra,925397.0,1946963.8028432864,UP,0
uttar pradesh,jowar,169145.0,194002.0,UP,1
uttar pradesh,maize,724343.0,1815275.4709833327,UP,2
uttar pradesh,rice,5923632.0,3833371.8938755603,UP,4
uttar pradesh,wheat,9752941.0,9705844.83229782,UP,5
uttarakhand,bajra,0.0,33363.51911356578,,0
uttarakhand,jowar,0.0,0.0,,1
uttarakhand,maize,20872.0,80969.0,,2
uttarakhand,ragi,101504.0,100874.56273917583,,3
uttarakhand,rice,260492.0,153641.9181472584,,4
uttarakhand,wheat,330401.0,344420.0,,5
west bengal,bajra,30.0,0.0,WB,0
west bengal,jowar,6.0,0.0,WB,1
west bengal,maize,245228.0,1028248.6366556534,WB,2
west bengal,ragi,3379.0,140750.0550484734,WB,3
west bengal,rice,5537431.0,4037208.2332743173,WB,4
west bengal,wheat,117360.0,697227.0750215561,WB,5
