source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,27113924.386870243,867096.1645374313,235593.15216176832,1450775.044558411,1051789.5466130092,12254.20525913658
rice,561281.0953412789,27958428.266990256,2184806.806494219,8148730.521651239,3643237.428496319,2048420.6310261453
bajra,74887.39102540056,813794.0,4431651.608974599,340761.0094244495,1650576.7903445703,254142.20023098006
maize,362062.0939468243,1992796.808435295,1449127.250320477,3022865.88055564,2372174.426011494,240511.36073027021
jowar,288889.6424892489,323853.3736625855,612781.1871238633,738741.0024713259,4135890.796724302,138072.99752867414
ragi,274.542683879426,142572.3865631326,10477.613436867403,479001.0941524202,440782.0,121876.3631637004
