Crop,original_total_ha,optimized_total_ha,delta_ha,pct_change
wheat,30731432.5,28401319.152357418,-2330113.347642582,-7.582182664744255
rice,44544904.75,32098541.0001887,-12446363.7498113,-27.941161440717412
bajra,7565813.0,8924437.618511794,1358624.6185117941,17.957417378830197
maize,9439537.82,14180874.552813485,4741336.732813485,50.228483885808345
jowar,6238229.0,13294450.988189695,7056221.988189695,113.11258352634529
ragi,1194984.0,2815277.7579389066,1620293.7579389066,135.59125125850275
