source_state,target_state,quantity_kcal,State,original_alt_trade_kcal,trade_alt_needed_clipped,scale_factor,optimized_trade_kcal
assam,haryana,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,himachal pradesh,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,jammu and kashmir,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,jharkhand,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,karnataka,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,kerala,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,madhya pradesh,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,maharashtra,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,manipur,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,meghalaya,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,mizoram,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,nagaland,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,odisha,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,puducherry,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,punjab,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,rajasthan,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,tamil nadu,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,telangana,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,tripura,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,uttar pradesh,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,uttarakhand,0.0,assam,0.0,82468910270.75531,0.0,0.0
assam,west bengal,0.0,assam,0.0,82468910270.75531,0.0,0.0
bihar,andhra pradesh,57056122500.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,1106313544693.3306
bihar,arunachal pradesh,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,assam,58547320000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,1135227742149.753
bihar,chandigarh,0.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,0.0
bihar,chhattisgarh,26463645000.0,bihar,1469004127500.0,28483869780384.36,19.389918140569936,513127910251.1029
