from,to,value
RJ,PN,7463316000.0
RJ,TN,1121332573683.8323
RJ,TE,17838880500.0
RJ,UP,595940277908.1853
RJ,WB,44703223260.74097
TN,AP,587843509.6241903
TN,CH,3112120680.7294855
TN,HR,592751383.8578626
TN,KA,110106333.93764481
TN,KL,193942623.50307003
TN,OD,587675635.9988017
TN,PN,1276160221.7363198
TN,TE,3909111607.2684574
TN,UP,4020925.1590132006
TE,AP,1476056751.0393546
TE,AS,360363820.01276964
TE,BR,13775682140.142803
TE,JH,6432960868.566746
TE,KA,133417596856.57945
TE,KL,413746532811.40137
TE,NL,2099529609.3033347
TE,TN,1271909574171.4565
TE,WB,142595931394.13303
UP,AP,301440287610.8671
UP,AS,678203018676.2952
UP,BR,214732107289.23145
UP,CH,4767715458.761864
UP,GJ,559167471084.2549
UP,HR,22506891809.701736
UP,JK,67659071952.20011
UP,JH,2912471709.738132
UP,KA,948554817437.2407
UP,KL,144568501369.48428
UP,MP,2408987560.9691143
UP,MH,69658758022.53088
UP,NL,94077618221.95021
UP,OD,383756694378.7444
UP,PN,157609039424.899
UP,RJ,2176428605.370202
UP,TN,547336169479.2633
UP,TE,9815387095.924917
UP,WB,375988077153.12616
WB,AP,6924738217.289278
WB,AS,74532672990.85846
WB,BR,129021725648.9528
WB,CH,3481864766.670826
WB,HR,20485951718.44209
WB,JH,26877589887.472046
WB,MP,5231959235.310989
WB,NL,1569900934.3600838
WB,PN,86092673368.707
WB,TN,13066145345.60133
WB,UP,1729750389.4695501
