State,Crop,original_area_ha,optimized_area_ha,state_abbrev,crop_order
tamil nadu,jowar,385646.0,48920.99208101457,TN,1
tamil nadu,maize,324518.0,1024383.8448714144,TN,2
tamil nadu,ragi,86513.0,0.0,TN,3
tamil nadu,rice,1828865.0,169547.0,TN,4
telangana,bajra,8762.0,498530.6824219712,TE,0
telangana,jowar,67312.0,156226.95985016174,TE,1
telangana,maize,630457.0,376936.6792232398,TE,2
telangana,ragi,1455.0,0.0,TE,3
telangana,rice,1962376.0,1642823.6785046272,TE,4
telangana,wheat,4156.0,0.0,TE,5
tripura,jowar,857.0,14529.20193785285,TR,1
tripura,maize,15736.0,0.0,TR,2
tripura,rice,274068.0,276326.79806214717,TR,4
tripura,wheat,195.0,0.0,TR,5
uttar pradesh,bajra,925397.0,1981329.697295548,UP,0
uttar pradesh,jowar,169145.0,21101.0,UP,1
uttar pradesh,maize,724343.0,795840.0815912224,UP,2
uttar pradesh,rice,5923632.0,5893178.209318327,UP,4
uttar pradesh,wheat,9752941.0,8804009.011794902,UP,5
uttarakhand,bajra,0.0,45766.832329251745,UR,0
uttarakhand,jowar,0.0,0.0,UR,1
uttarakhand,maize,20872.0,86390.38728269786,UR,2
uttarakhand,ragi,101504.0,83644.61271730214,UR,3
uttarakhand,rice,260492.0,175681.4411814131,UR,4
uttarakhand,wheat,330401.0,321785.7264893352,UR,5
west bengal,bajra,30.0,0.0,WB,0
west bengal,jowar,6.0,0.0,WB,1
west bengal,maize,245228.0,150928.84025191606,WB,2
west bengal,ragi,3379.0,12904.261499530568,WB,3
west bengal,rice,5537431.0,5577016.312225907,WB,4
west bengal,wheat,117360.0,162584.58602264596,WB,5
