crop,baseline_ha,optimized_ha,gross_loss_ha,gross_gain_ha,gross_loss_pct,gross_gain_pct,net_change_pct
rice,44544904.75,24105323.28500162,22876059.644085445,2436478.1790870647,51.35505345105816,5.469712400916212,-45.885341050141946
wheat,30731432.5,28631313.933809653,3503412.395564572,1403293.829374223,11.400094660620107,4.566314405858637,-6.8337802547614634
