Crop,original_total_ha,optimized_total_ha,delta_ha,pct_change
wheat,30731432.5,28631313.93380965,-2100118.566190351,-6.833780254761475
rice,44544904.75,24105323.28500162,-20439581.46499838,-45.885341050141946
bajra,7565813.0,10528951.07031613,2963138.0703161303,39.16483357857418
maize,9439537.82,20151166.454770297,10711628.634770297,113.47619808329023
jowar,6238229.0,14343703.226797402,8105474.226797402,129.9322969194847
ragi,1194984.0,1954443.0993049005,759459.0993049005,63.55391363440017
