source_crop,wheat,rice,bajra,maize,jowar,ragi
wheat,27228020.10443543,420585.16770217963,545003.0,1690116.2433764278,844938.4488889438,2769.535597021064
rice,686360.4452766328,21668845.105914555,3705396.857939755,12383058.829329414,4883381.728573212,1217861.7829664296
bajra,31553.503578770586,495106.3922836378,4230863.910139367,881455.3803406501,1673610.1901525594,253223.62350501464
maize,345512.3824053437,1306364.848909121,1362668.4693993926,3692196.50791662,2471535.053983178,261260.55738634474
jowar,339590.0,119403.0587388565,651764.3144010096,1020690.7431124059,4007843.3485233374,98937.53522439084
ragi,277.4981134760742,95018.71145326948,33254.51843660545,483648.7506947788,462394.45667617046,120390.06462569976
