iteration,scenario,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
2,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.134103596613164,-6.134103596613164
2,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.440322701127094,-13.440322701127094
2,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.075076292446083,-3.075076292446083
2,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,19.386721620491432,-19.386721620491432
2,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,11.021299208137513,-11.021299208137513
2,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,23.86534145850901,-23.86534145850901
2,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,8.113532704315308,-8.113532704315308
2,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,26.587491866074625,-26.587491866074625
2,Water based,Water Demand,water,Optimal,Optimal,Optimal,47.875726882771815,-47.875726882771815
3,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,22.970041796078608,-22.970041796078608
3,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,5.793297198621746,-5.793297198621746
3,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,25.659328232237996,-25.659328232237996
3,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.71936566640747,-8.71936566640747
3,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,38.19991045067283,-38.19991045067283
3,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,49.371209468169525,-49.371209468169525
3,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-16.410762498181178,16.410762498181178
3,Water based,Profit,profit,Optimal,Optimal,Optimal,-13.564751792886995,13.564751792886995
3,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-4.8489526659905655,4.8489526659905655
3,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-6.182009932001933,6.182009932001933
3,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,12.730775768016793,-12.730775768016793
3,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.219614295020299,-5.219614295020299
3,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.938286598784181,-12.938286598784181
3,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,1.4831112108939115,-1.4831112108939115
3,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,18.888147564311545,-18.888147564311545
3,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,9.9549417494277,-9.9549417494277
3,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.647405030709923,-22.647405030709923
3,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,5.881086872290718,-5.881086872290718
3,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,23.41316970021474,-23.41316970021474
3,Water based,Water Demand,water,Optimal,Optimal,Optimal,48.27785656272818,-48.27785656272818
4,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.10471074318644,-24.10471074318644
4,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,5.762497831872027,-5.762497831872027
4,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,27.21063988409272,-27.21063988409272
4,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.830122144679619,-8.830122144679619
4,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,37.12694072850439,-37.12694072850439
4,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,48.71347353595767,-48.71347353595767
4,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-18.006298000941122,18.006298000941122
4,Water based,Profit,profit,Optimal,Optimal,Optimal,-14.342374203684901,14.342374203684901
4,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.372176672019289,5.372176672019289
4,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-6.801749999347346,6.801749999347346
4,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,13.450659324018508,-13.450659324018508
4,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,4.785100649840237,-4.785100649840237
4,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.558202845452529,-13.558202845452529
4,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,1.4127062990254518,-1.4127062990254518
4,Nitrogen based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,19.889047144147515,-19.889047144147515
4,Water based,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,9.513841501068965,-9.513841501068965
4,Nitrogen based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,23.7965555212479,-23.7965555212479
4,Water based,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,5.898626073120509,-5.898626073120509
4,Nitrogen based,Water Demand,water,Optimal,Optimal,Optimal,29.562706631695505,-29.562706631695505
4,Water based,Water Demand,water,Optimal,Optimal,Optimal,48.39760913209858,-48.39760913209858
5,Nitrogen based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.397287372851732,-23.397287372851732
5,Water based,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,6.128386688421067,-6.128386688421067
5,Nitrogen based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,26.214988338115138,-26.214988338115138
5,Water based,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.79072530447625,-8.79072530447625
5,Nitrogen based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,38.002630970274545,-38.002630970274545
5,Water based,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,48.77579117309573,-48.77579117309573
5,Nitrogen based,Profit,profit,Optimal,Optimal,Optimal,-15.536233898292036,15.536233898292036
5,Water based,Profit,profit,Optimal,Optimal,Optimal,-16.293222769430916,16.293222769430916
5,Nitrogen based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.221731610066983,5.221731610066983
5,Water based,Calorie,Calorie,Optimal,Optimal,Optimal,-5.7421994199510245,5.7421994199510245
5,Nitrogen based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,13.01802384662615,-13.01802384662615
5,Water based,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.480135940707446,-5.480135940707446
5,Nitrogen based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,12.981490487133375,-12.981490487133375
5,Water based,Nitrogen application,N_applied,Optimal,Optimal,Optimal,1.840131085990355,-1.840131085990355
